,ProjGalaxyID,DescGalaxyID,DescID,z,Z,face,HalfMassRadius,VelDisp,Starmass,BHmass,DMmass,Gasmass,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,DispAnisotropy,DMEllipticity,StellarEllipticity,StellarCoRotKE,MedOrbitCircu,RotToDispRatio,Triaxiality,name1,filename,image
4315,1165204,1165214,1165213,1.2593315,,,3.3875964,,4430818000.0,7231815.5,250180670000.0,8418909000.0,2.1030543,6939292700.0,1.2546613e-07,139.0075,14.233381,0.27661375422349654,,0.39175737771302144,0.5888503611197367,,,,,,RefL0050N0752,
4316,1303173,1303183,1303182,1.2593315,,,3.9551501,,2574664000.0,3626939.5,346064680000.0,8884406000.0,1.4784772,4127777300.0,3.9939627e-10,133.10602,34.40638,0.46670333655560026,,0.5223066968285714,0.5492430413108662,,,,,,RefL0050N0752,
4317,1319910,1319920,1319919,1.2593315,,,2.502679,,2447475500.0,3615942.2,254640390000.0,7637119500.0,1.3895464,3866080800.0,2.4463493e-09,130.1915,16.682379,0.29595118178441393,,0.22823512961553516,0.2823937662628624,,,,,,RefL0050N0752,
4318,1556140,1556150,1556149,1.2593315,,,3.704907,,5763817500.0,9336798.0,345657480000.0,9758880000.0,4.2232556,8886090000.0,0.00028577863,151.72517,11.384877,0.5961182257086639,,0.3102584292821816,0.6819623507410406,,,,,,RefL0050N0752,
4319,1554434,1554444,1554443,1.2593315,,,3.6449666,,2331692000.0,7240124.5,276803260000.0,10114778000.0,2.174392,3674618000.0,1.2517316e-06,133.24153,42.973988,0.1183116527995669,,0.528842103683087,0.5224925671072691,,,,,,RefL0050N0752,
4320,1165952,1165962,1165961,1.2593315,,,3.9440506,,3162178300.0,5463367.5,266991880000.0,9479918000.0,1.4961079,4909476400.0,6.187239e-09,138.3405,19.95767,0.08201542489817137,,0.42011060138419387,0.5157747611879235,,,,,,RefL0050N0752,
4321,1313449,1313459,1313458,1.2593315,,,3.754726,,6339366000.0,10873877.0,629150400000.0,13794414000.0,3.647319,10119067000.0,5.288912e-05,169.36826,29.59817,0.36504437533802236,,0.5246558235861778,0.6033307638987024,,,,,,RefL0050N0752,
4322,1312045,1312055,1312054,1.2593315,,,1.5693552,,6346511400.0,3723972.8,439398900000.0,9065565000.0,3.5049314,10104598000.0,0.00038052743,157.02768,6.6809635,0.13281929394749148,,0.4405550453343339,0.3237422252165538,,,,,,RefL0050N0752,
4323,1329643,1329653,1329652,1.2593315,,,2.5289745,,6333614600.0,9058485.0,385096940000.0,9259774000.0,3.2186348,9931206000.0,2.6182228e-05,160.69849,12.335984,0.08356936221452627,,0.5324199201379582,0.6003465655881979,,,,,,RefL0050N0752,
4324,1188155,1188165,1188164,1.2593315,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1188165.png,3.3368165,,14350913000.0,22045874.0,539354800000.0,7102516700.0,3.4673507,23031106000.0,1.7080936e-05,175.10136,27.561634,0.6315555614853335,,0.36214606356770107,0.6316930322202519,,,,,galface_1188165.png,RefL0050N0752galface_1188165.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRefL0050N0752/RefL0050N0752galface_1188165.png
4325,1333237,1333247,1333246,1.2593315,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1333247.png,2.1839702,,14591449000.0,16861812.0,663102400000.0,8528284700.0,4.0068307,23641227000.0,0.000105971,184.10136,4.6260185,0.3052212875411032,,0.39790914463108484,0.4912300776337397,,,,,galface_1333247.png,RefL0050N0752galface_1333247.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRefL0050N0752/RefL0050N0752galface_1333247.png
4326,1328207,1328217,1328216,1.2593315,,,3.1472378,,4563653600.0,7239017.5,315525270000.0,8529843000.0,1.8215247,7305516000.0,6.323303e-07,147.34727,16.136154,0.4122229371385706,,0.4103555679550124,0.6350260200878419,,,,,,RefL0050N0752,
4327,1184597,1184607,1184606,1.2593315,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1184607.png,3.0393212,,13006576000.0,5447783.5,734845700000.0,22247385000.0,8.445413,20524761000.0,9.8145225e-05,186.09273,25.897417,0.5801747137664165,,0.4340524527965759,0.600456613974903,,,,,galface_1184607.png,RefL0050N0752galface_1184607.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRefL0050N0752/RefL0050N0752galface_1184607.png
