,DescGalaxyID,DMHalfMassRad,DMMass100AP,M500DM,R500DM,M200DMmean,R200DMmean
1050,1279993,57.1636,455686520000.0,524727520000.0,110.04145,726767760000.0,160.14314
1051,1279994,55.35837,454261400000.0,511385200000.0,103.34078,686075200000.0,150.10059
1052,1279995,53.35633,441667520000.0,476018970000.0,96.45807,663935500000.0,141.29921
1053,1279996,51.312756,442530370000.0,465711460000.0,91.21835,630672600000.0,133.77094
1054,1279997,47.26887,433097080000.0,444443130000.0,85.277534,604811200000.0,125.48578
1055,1279998,46.786148,411099000000.0,399648850000.0,77.91986,583896900000.0,117.227684
1056,1279999,50.967316,422161100000.0,360587460000.0,68.32854,581452700000.0,106.27008
1057,1280000,42.37141,432418460000.0,417112330000.0,66.08516,575387660000.0,98.55997
1058,1280001,33.891262,348139420000.0,326412000000.0,55.93206,476562620000.0,85.13891
1059,1280002,34.67647,235192120000.0,173562790000.0,41.516296,276457700000.0,64.877686
1060,1280003,28.246881,208307770000.0,168396550000.0,38.439327,262011000000.0,59.912888
1061,1280004,26.21825,195684810000.0,162657500000.0,35.50451,249941620000.0,55.194878
1062,1282459,124.26615,475832880000.0,830750200000.0,141.32837,1677304500000.0,216.63472
1063,1282460,127.50752,448589800000.0,631455350000.0,125.34531,1635012000000.0,201.76387
1064,1282461,111.99242,512654640000.0,732979900000.0,127.54789,1716505700000.0,209.6514
1065,1282462,98.70401,578852400000.0,1165916900000.0,143.5922,1715890800000.0,213.52138
1066,1282465,85.843925,285334900000.0,232669820000.0,72.3826,665931400000.0,124.93696
1067,1282466,64.34233,291287660000.0,268612270000.0,72.09929,467424440000.0,112.52462
1068,1282467,59.8962,262028000000.0,203746540000.0,62.24462,413513740000.0,103.70811
1069,1282469,33.869892,114828130000.0,76067040000.0,37.476006,192787170000.0,67.326324
1070,1282471,19.49336,62319760000.0,42611090000.0,25.995438,62651494000.0,39.78633
1071,1282472,18.543467,58955580000.0,41554180000.0,24.109606,61594250000.0,37.022102
1072,1282473,15.911192,56764494000.0,42887737000.0,22.766226,61903094000.0,34.75792
1073,1284998,37.763065,264403290000.0,271091170000.0,72.3188,384751140000.0,107.68584
1074,1284999,38.678947,252071180000.0,255695860000.0,67.140656,379809270000.0,100.84651
1075,1285000,31.088013,202015670000.0,183560910000.0,54.558517,255468500000.0,81.23375
1076,1285001,28.84367,188306880000.0,165503880000.0,48.559048,233214070000.0,72.84671
1077,1285002,27.29872,180812610000.0,141342970000.0,42.31542,213380640000.0,64.96287
1078,1285003,25.66988,170128670000.0,124730876000.0,37.187263,201140030000.0,58.57201
1079,1285004,22.158735,155023790000.0,125600820000.0,34.860516,182954670000.0,53.28182
1080,1285005,22.401615,149129200000.0,107864170000.0,30.959455,156359280000.0,47.22574
1081,1285418,162.10913,408801300000.0,584351550000.0,129.83997,2872432100000.0,213.13864
1082,1285419,133.26285,389546970000.0,521077850000.0,120.97507,2553385000000.0,213.7232
1083,1285420,93.55849,394607800000.0,510905200000.0,116.80459,2291751200000.0,189.54053
1084,1285421,82.7285,394268400000.0,485844450000.0,111.20629,1167731000000.0,171.85796
