,z,Z,face,mass,DiscToTotal,HalfMassRadius,VelDisp,BHmass,SFR,name1,filename,image
15,2.220446e-16,0.014031084,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_809082.png,12575322000.0,0.2773101712413796,10.414704,82.14294,1490043.4,3.3582354,galface_809082.png,RecalL0025N0752galface_809082.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_809082.png
16,2.220446e-16,0.021107733,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_917940.png,12947725000.0,0.7171663920383866,3.402816,77.42498,1775243.8,0.9086927,galface_917940.png,RecalL0025N0752galface_917940.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_917940.png
17,2.220446e-16,0.019577822,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_886392.png,13111634000.0,0.3551474545038269,3.7677307,78.44726,4336659.5,0.7902942,galface_886392.png,RecalL0025N0752galface_886392.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_886392.png
18,2.220446e-16,0.024486309,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_833288.png,13250019000.0,0.6452039586172235,1.8943385,81.010475,6106908.5,0.59367645,galface_833288.png,RecalL0025N0752galface_833288.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_833288.png
19,2.220446e-16,0.018259035,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_709787.png,13551484000.0,0.6192868233847348,5.737373,84.333824,2512928.0,1.6830375,galface_709787.png,RecalL0025N0752galface_709787.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_709787.png
20,2.220446e-16,0.019084621,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_642129.png,13584497000.0,0.6947810531658751,5.243585,79.59165,1654445.1,1.3904504,galface_642129.png,RecalL0025N0752galface_642129.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_642129.png
21,2.220446e-16,0.017430674,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_754151.png,13952908000.0,0.6946117094564586,5.750483,77.57927,3713292.8,1.4327581,galface_754151.png,RecalL0025N0752galface_754151.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_754151.png
22,2.220446e-16,0.016142644,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_878368.png,14598747000.0,0.6183169055805271,6.276558,79.60713,1611158.8,2.31572,galface_878368.png,RecalL0025N0752galface_878368.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_878368.png
23,2.220446e-16,0.019744815,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_646493.png,14780843000.0,0.777138899178698,4.9448123,84.41446,1138628.6,0.37246987,galface_646493.png,RecalL0025N0752galface_646493.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_646493.png
24,2.220446e-16,0.023209319,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_912390.png,14965153000.0,0.5670928687472263,3.256752,86.929924,7567917.5,0.4729184,galface_912390.png,RecalL0025N0752galface_912390.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_912390.png
