,z,face,StarmassType,name1,filename
130,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_79027.png,16567073000.0,galface_79027.png,RefL0050N0752galface_79027.png
131,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1138553.png,18140330000.0,galface_1138553.png,RefL0050N0752galface_1138553.png
132,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1425663.png,17155970000.0,galface_1425663.png,RefL0050N0752galface_1425663.png
133,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1389313.png,16914934000.0,galface_1389313.png,RefL0050N0752galface_1389313.png
134,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1444492.png,17707459000.0,galface_1444492.png,RefL0050N0752galface_1444492.png
135,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1085621.png,17796887000.0,galface_1085621.png,RefL0050N0752galface_1085621.png
136,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1423724.png,18035857000.0,galface_1423724.png,RefL0050N0752galface_1423724.png
137,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1422712.png,18686818000.0,galface_1422712.png,RefL0050N0752galface_1422712.png
138,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1304142.png,17742412000.0,galface_1304142.png,RefL0050N0752galface_1304142.png
139,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1094187.png,17717174000.0,galface_1094187.png,RefL0050N0752galface_1094187.png
140,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1446575.png,18106542000.0,galface_1446575.png,RefL0050N0752galface_1446575.png
141,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1442166.png,18003134000.0,galface_1442166.png,RefL0050N0752galface_1442166.png
142,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1244184.png,18138659000.0,galface_1244184.png,RefL0050N0752galface_1244184.png
143,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1282458.png,19153320000.0,galface_1282458.png,RefL0050N0752galface_1282458.png
144,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1356612.png,18467695000.0,galface_1356612.png,RefL0050N0752galface_1356612.png
145,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_514258.png,17811302000.0,galface_514258.png,RefL0050N0752galface_514258.png
146,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1438070.png,18363705000.0,galface_1438070.png,RefL0050N0752galface_1438070.png
147,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1093251.png,18874851000.0,galface_1093251.png,RefL0050N0752galface_1093251.png
148,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1355100.png,18657653000.0,galface_1355100.png,RefL0050N0752galface_1355100.png
149,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1459291.png,18372248000.0,galface_1459291.png,RefL0050N0752galface_1459291.png
150,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1328207.png,19706260000.0,galface_1328207.png,RefL0050N0752galface_1328207.png
151,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1483658.png,20660540000.0,galface_1483658.png,RefL0050N0752galface_1483658.png
152,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1365291.png,19631118000.0,galface_1365291.png,RefL0050N0752galface_1365291.png
153,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1123696.png,19044215000.0,galface_1123696.png,RefL0050N0752galface_1123696.png
154,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1412733.png,20441174000.0,galface_1412733.png,RefL0050N0752galface_1412733.png
155,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1247897.png,19489784000.0,galface_1247897.png,RefL0050N0752galface_1247897.png
156,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1374196.png,21036330000.0,galface_1374196.png,RefL0050N0752galface_1374196.png
157,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1319910.png,21046426000.0,galface_1319910.png,RefL0050N0752galface_1319910.png
158,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1305519.png,20147814000.0,galface_1305519.png,RefL0050N0752galface_1305519.png
159,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1371201.png,21002949000.0,galface_1371201.png,RefL0050N0752galface_1371201.png
160,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1161117.png,19413990000.0,galface_1161117.png,RefL0050N0752galface_1161117.png
161,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1172536.png,21430022000.0,galface_1172536.png,RefL0050N0752galface_1172536.png
162,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1347069.png,20292125000.0,galface_1347069.png,RefL0050N0752galface_1347069.png
163,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1279989.png,19811510000.0,galface_1279989.png,RefL0050N0752galface_1279989.png
164,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1380475.png,20873670000.0,galface_1380475.png,RefL0050N0752galface_1380475.png
165,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1188155.png,20991646000.0,galface_1188155.png,RefL0050N0752galface_1188155.png
166,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1155743.png,20730055000.0,galface_1155743.png,RefL0050N0752galface_1155743.png
167,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1288278.png,21928534000.0,galface_1288278.png,RefL0050N0752galface_1288278.png
168,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1317107.png,21526020000.0,galface_1317107.png,RefL0050N0752galface_1317107.png
169,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1337479.png,21911208000.0,galface_1337479.png,RefL0050N0752galface_1337479.png
170,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2286975.png,23682642000.0,galface_2286975.png,RefL0050N0752galface_2286975.png
171,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1366508.png,21773515000.0,galface_1366508.png,RefL0050N0752galface_1366508.png
172,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1411308.png,23089566000.0,galface_1411308.png,RefL0050N0752galface_1411308.png
173,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1420771.png,21379154000.0,galface_1420771.png,RefL0050N0752galface_1420771.png
174,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1086825.png,21260777000.0,galface_1086825.png,RefL0050N0752galface_1086825.png
175,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1419236.png,22304274000.0,galface_1419236.png,RefL0050N0752galface_1419236.png
176,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2148400.png,25349747000.0,galface_2148400.png,RefL0050N0752galface_2148400.png
177,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1394766.png,21500592000.0,galface_1394766.png,RefL0050N0752galface_1394766.png
178,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1348196.png,22048938000.0,galface_1348196.png,RefL0050N0752galface_1348196.png
179,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1491540.png,21759474000.0,galface_1491540.png,RefL0050N0752galface_1491540.png
180,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1386556.png,21907590000.0,galface_1386556.png,RefL0050N0752galface_1386556.png
181,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1276915.png,21642494000.0,galface_1276915.png,RefL0050N0752galface_1276915.png
182,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1402691.png,22774260000.0,galface_1402691.png,RefL0050N0752galface_1402691.png
183,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1313449.png,23557341000.0,galface_1313449.png,RefL0050N0752galface_1313449.png
184,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1408411.png,22662402000.0,galface_1408411.png,RefL0050N0752galface_1408411.png
185,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1330646.png,23339102000.0,galface_1330646.png,RefL0050N0752galface_1330646.png
186,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2297802.png,23256123000.0,galface_2297802.png,RefL0050N0752galface_2297802.png
187,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1377285.png,23068369000.0,galface_1377285.png,RefL0050N0752galface_1377285.png
188,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2196040.png,24700873000.0,galface_2196040.png,RefL0050N0752galface_2196040.png
189,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2280009.png,24699654000.0,galface_2280009.png,RefL0050N0752galface_2280009.png
190,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1367615.png,23893703000.0,galface_1367615.png,RefL0050N0752galface_1367615.png
191,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1315366.png,25870164000.0,galface_1315366.png,RefL0050N0752galface_1315366.png
192,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1257778.png,22767002000.0,galface_1257778.png,RefL0050N0752galface_1257778.png
193,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1186136.png,25171790000.0,galface_1186136.png,RefL0050N0752galface_1186136.png
194,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1430974.png,23511011000.0,galface_1430974.png,RefL0050N0752galface_1430974.png
195,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1115535.png,23660366000.0,galface_1115535.png,RefL0050N0752galface_1115535.png
196,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1351451.png,25588951000.0,galface_1351451.png,RefL0050N0752galface_1351451.png
197,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1096782.png,23311163000.0,galface_1096782.png,RefL0050N0752galface_1096782.png
198,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1340561.png,24907920000.0,galface_1340561.png,RefL0050N0752galface_1340561.png
199,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1417898.png,24374300000.0,galface_1417898.png,RefL0050N0752galface_1417898.png
200,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1390193.png,25047958000.0,galface_1390193.png,RefL0050N0752galface_1390193.png
201,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2292209.png,25612003000.0,galface_2292209.png,RefL0050N0752galface_2292209.png
202,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_414047.png,23781730000.0,galface_414047.png,RefL0050N0752galface_414047.png
203,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1429533.png,24416494000.0,galface_1429533.png,RefL0050N0752galface_1429533.png
204,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2368739.png,26834948000.0,galface_2368739.png,RefL0050N0752galface_2368739.png
205,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1255346.png,25057850000.0,galface_1255346.png,RefL0050N0752galface_1255346.png
206,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1398695.png,24525373000.0,galface_1398695.png,RefL0050N0752galface_1398695.png
207,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_53256.png,24355963000.0,galface_53256.png,RefL0050N0752galface_53256.png
208,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1131235.png,26419229000.0,galface_1131235.png,RefL0050N0752galface_1131235.png
209,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1382002.png,26209170000.0,galface_1382002.png,RefL0050N0752galface_1382002.png
210,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1474323.png,24890585000.0,galface_1474323.png,RefL0050N0752galface_1474323.png
211,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1400142.png,26542300000.0,galface_1400142.png,RefL0050N0752galface_1400142.png
212,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2321744.png,27441893000.0,galface_2321744.png,RefL0050N0752galface_2321744.png
213,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1301768.png,26326634000.0,galface_1301768.png,RefL0050N0752galface_1301768.png
