,ProjGalaxyID,DescGalaxyID,z,Z,face,HalfMassRadius,VelDisp,Starmass,BHmass,DMmass,Gasmass,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,DispAnisotropy,DMEllipticity,StellarEllipticity,StellarCoRotKE,MedOrbitCircu,RotToDispRatio,Triaxiality,name1,filename,image
10,746518,746518,2.220446e-16,0.016656958,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_746518.png,4.32234,82.226944,15302997000.0,3006527.2,110405980000.0,9514297000.0,4.37122,30755260000.0,0.0012975445,175.71614,114.555305,0.5012489502131887,0.2058234718563724,0.4123311740983864,0.5504957123634588,0.45093747924370975,0.3081131539535475,0.970938838707489,0.11662093106736232,galface_746518.png,RecalL0025N0752galface_746518.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_746518.png
11,754151,754151,2.220446e-16,0.017430674,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_754151.png,5.750483,77.57927,13952908000.0,3713292.8,139755300000.0,7826410500.0,1.4327581,28068387000.0,3.3875557e-07,153.432,41.89251,0.6946117094564586,0.22440197780098714,0.42400366412624135,0.6754248592783572,0.6013109285129217,0.5537255867335339,1.5511986778926157,0.16714160963168187,galface_754151.png,RecalL0025N0752galface_754151.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_754151.png
12,763033,763033,2.220446e-16,0.017662922,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_763033.png,6.3302135,89.67209,16193163000.0,3788242.5,191846800000.0,6011898000.0,0.9702982,31355490000.0,3.282698e-07,175.74457,13.518897,0.6261017175155097,0.37300784749359717,0.29689421517545567,0.6979676679113345,0.5741100603056786,0.6009709626045705,1.3991820975593448,0.027232612981545633,galface_763033.png,RecalL0025N0752galface_763033.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_763033.png
13,793490,793490,2.220446e-16,0.018890733,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_793490.png,5.2958913,87.28749,19232920000.0,1592105.0,161743670000.0,7232497000.0,1.3585818,35243725000.0,3.320924e-09,164.54034,23.716705,0.7068434194133755,0.0044170742109971295,0.1327943171483451,0.6175903621565018,0.5879982580508382,0.665613692308354,1.782155789505478,0.03937153753231444,galface_793490.png,RecalL0025N0752galface_793490.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_793490.png
14,809082,809082,2.220446e-16,0.014031084,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_809082.png,10.414704,82.14294,12575322000.0,1490043.4,149460040000.0,10138326000.0,3.3582354,26221834000.0,3.797884e-07,159.20914,41.60096,0.2773101712413796,0.6335677005329291,0.4965666080836759,0.6769982432669153,0.3550293725636088,0.19377355390244702,0.3220227518288126,0.36184498055087466,galface_809082.png,RecalL0025N0752galface_809082.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_809082.png
15,817104,817104,2.220446e-16,0.017281817,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_817104.png,5.952875,82.07669,16822366000.0,5499465.0,162218720000.0,11889376000.0,2.4903455,32040196000.0,6.68034e-07,165.49704,32.193714,0.6562007175741672,0.39163530616927156,0.4410603236687287,0.6161475670486822,0.484028202733128,0.42792926771633727,0.9500090406937364,0.07613112511819221,galface_817104.png,RecalL0025N0752galface_817104.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_817104.png
16,825807,825807,2.220446e-16,0.02074496,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_825807.png,4.2948403,83.89428,17293883000.0,7593567.5,152152850000.0,9081261000.0,1.6998967,31663980000.0,2.3696603e-07,160.05437,31.191217,0.4050341747843291,0.262297525397132,0.2342754763302174,0.4666009143873848,0.38566745168049477,0.22868842989680063,0.6812249957664717,0.048763578934110756,galface_825807.png,RecalL0025N0752galface_825807.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_825807.png
17,833288,833288,2.220446e-16,0.024486309,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_833288.png,1.8943385,81.010475,13250019000.0,6106908.5,142679570000.0,6040692700.0,0.59367645,23795438000.0,4.0279697e-06,156.16115,6.201002,0.6452039586172235,0.08636649679260766,0.25333916082718533,0.6057873735765462,0.5055134290542205,0.49143266543176456,1.2535603119300809,0.5189095363575931,galface_833288.png,RecalL0025N0752galface_833288.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_833288.png
18,846421,846421,2.220446e-16,0.020668296,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_846421.png,6.788192,92.612495,22567797000.0,5784568.0,195784180000.0,5309045000.0,1.0453924,42389393000.0,0.00017826652,179.97568,23.827642,0.8045442681059936,0.1680056709360026,0.3950861800832789,0.7458910499258877,0.671929814083858,0.7563557829864446,2.125261569176763,0.07413603423494124,galface_846421.png,RecalL0025N0752galface_846421.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_846421.png
19,860575,860575,2.220446e-16,0.015594018,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_860575.png,5.704394,72.17394,11983219000.0,2418121.0,124536504000.0,7888766000.0,1.0556958,22091164000.0,1.00223215e-05,144.2557,43.145676,0.5150973999615663,0.5049126223130644,0.3336914297793916,0.6339359287015387,0.48268564046780094,0.37294086862186304,0.7875827754835836,0.23661319187095514,galface_860575.png,RecalL0025N0752galface_860575.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_860575.png
