,DescGalaxyID,SF_MassWeightedTemperature,NSF_MassWeightedTemperature
208,1043010,29005.19,734831.8
209,1043011,23570.68,632716.25
210,1043012,14300.463,540848.75
211,1043013,10826.569,211310.36
212,1043014,11539.384,134755.4
213,1043015,9601.235,103487.35
214,1043016,13854.968,93601.93
215,1043017,10889.858,79985.15
216,1075273,11179.879,858714.06
217,1075276,8492.068,410769.0
218,1075277,9048.203,564488.94
219,1075278,8260.529,530939.56
220,1075279,10931.795,486480.94
221,1075280,15532.576,349083.6
222,1075281,12455.326,318783.84
223,1075282,11996.561,248949.38
224,1075283,12296.984,186044.5
225,1075284,40461.027,200810.83
226,1081411,7178.732,1009453.6
227,1081412,7706.746,928499.0
228,1081413,8522.539,768290.4
229,1081414,11102.429,717646.56
230,1081415,11755.426,571282.0
231,1081416,13592.301,469761.6
232,1081417,10412.688,303757.16
233,1081418,11156.265,318825.47
234,1081419,12623.008,332146.34
235,1085625,7659.646,225983.1
236,1085626,7296.8525,227996.2
237,1085627,6669.7817,196051.75
238,1085628,8730.432,220176.81
239,1085629,8880.912,197938.16
240,1085630,9059.452,163279.42
241,1085631,9513.611,104198.58
242,1085632,11388.857,81066.266
243,1085633,12270.8545,75385.63
244,1085634,11054.724,57048.04
245,1085635,11225.171,58788.113
246,1085636,11279.015,71947.2
247,1086826,13806.744,402630.38
248,1086827,12958.964,424617.84
249,1086828,10669.995,416951.62
250,1086829,9851.014,424988.3
251,1086830,9544.126,417097.3
252,1086831,9534.581,363818.94
253,1086832,8381.191,271344.3
254,1086833,9158.627,206901.83
255,1086834,9605.775,199719.77
256,1086835,9964.129,149616.52
257,1086836,9748.78,116004.016
258,1086837,11340.701,114911.56
259,1086838,11563.407,85900.49
260,1086839,12300.135,70456.5
261,1086840,12099.272,48717.613
262,1087962,8522.77,370278.8
263,1087963,9517.558,352700.2
264,1087964,11396.851,378022.38
265,1087965,15913.268,338400.44
266,1087966,13685.347,254340.23
267,1087967,9062.495,166454.0
268,1087968,8594.46,148357.27
269,1087969,11155.959,132499.95
270,1087970,12097.406,145986.86
271,1087971,9812.288,98234.14
272,1087972,12251.251,62377.72
273,1087973,12518.401,73366.1
274,1088925,13678.98,181108.53
275,1088928,9079.925,128604.484
276,1088929,10628.77,141430.44
277,1088930,12461.228,112789.86
278,1088931,17129.281,85333.81
279,1088932,15958.119,66434.18
280,1088933,12920.891,69148.06
281,1092346,12022.29,81920.73
282,1092347,7639.046,81862.06
283,1092351,10310.514,229855.2
284,1092352,10284.255,202575.3
285,1092353,9654.352,178334.39
286,1092354,12204.453,178983.92
287,1092355,11233.395,121854.414
288,1092356,10404.522,111742.71
289,1092357,10494.169,102068.15
290,1092358,11376.638,79781.48
291,1093259,10828.611,206818.02
292,1093260,9397.946,160421.42
293,1093261,17968.441,133590.28
294,1093262,9400.437,91931.414
295,1093263,10956.871,101338.305
296,1093264,10467.282,57524.625
297,1093265,10219.823,45080.16
298,1093266,10735.629,43744.805
299,1094190,7972.0527,137429.33
300,1094193,10935.575,268404.3
301,1094194,9811.025,265531.53
302,1094195,9244.14,244445.89
303,1094196,10101.63,234818.77
304,1094197,11295.978,167319.33
305,1094198,12892.706,150466.75
306,1094199,11006.298,119692.76
307,1094200,12042.871,108078.79
308,1094201,10499.123,80210.64
309,1094202,14124.471,94124.65
310,1096784,5930.238,593690.0
311,1096785,6240.9272,578867.25
312,1096786,6605.858,564404.94
313,1096787,7323.5156,397167.84
314,1096788,7574.0273,312003.53
315,1096789,7854.679,310599.53
316,1096790,8559.331,311115.38
317,1096791,8744.964,257261.08
318,1096792,12341.543,256799.44
319,1096793,27988.564,260737.34
320,1096794,11594.026,144436.33
321,1096795,12384.072,74442.54
322,1096796,12344.212,69026.29
323,1096797,12476.69,58938.21
324,1100438,5694.926,950387.06
325,1100439,5969.045,900840.4
326,1100440,5816.3433,839443.7
327,1100441,7168.5337,812919.6
328,1100442,6125.07,811251.75
329,1100443,6220.7163,736796.3
330,1100444,7714.686,669988.25
331,1100445,8429.421,568801.0
332,1100446,10734.564,552797.3
333,1100447,31713.055,773147.7
334,1100448,14504.8545,579438.9
335,1100449,20965.87,281632.66
336,1100450,17876.88,196834.05
337,1100451,13008.019,156223.48
338,1100452,13966.849,125813.05
339,1103081,7444.2896,959277.75
340,1103082,7452.253,1003730.56
341,1103083,6444.523,1081576.8
342,1103084,9468.437,1018668.5
343,1103085,7867.9507,842933.6
344,1103086,7810.129,746274.56
345,1103087,7710.184,415994.56
346,1103088,8441.96,213276.0
347,1103089,9233.525,160709.33
348,1103090,10811.8,151126.12
349,1103091,15351.332,141037.47
350,1103092,15191.415,150627.98
351,1103093,13524.439,120272.29
352,1105947,7962.4097,233976.45
353,1105948,11089.304,219967.8
354,1105949,20639.88,229324.58
355,1105950,17038.598,120313.21
356,1105951,15652.181,78018.24
357,1105952,15523.861,71583.35
358,1105953,13102.98,63335.465
359,1106979,7163.296,1587862.0
360,1106980,8046.7114,1777607.5
361,1106981,10527.56,1954656.1
362,1106982,9982.8545,1839312.0
363,1106983,10236.088,1546758.4
364,1106984,12687.742,885036.44
365,1106985,26043.559,1251354.0
366,1106986,19755.576,1077001.2
367,1106987,14205.929,860218.7
368,1106988,12112.905,465572.2
369,1106989,11972.972,220918.12
370,1106990,12787.909,148712.83
371,1106991,15336.577,140348.25
372,1111939,13044.64,238784.0
373,1111940,15858.65,215048.23
374,1111941,14758.854,188394.44
375,1111942,11545.446,164970.48
376,1111943,20061.076,148887.84
377,1111944,12864.504,131802.97
378,1111945,11510.323,137665.31
379,1111946,10297.691,147322.48
380,1111947,9918.266,98551.914
381,1111948,10775.184,83843.27
382,1112719,7262.143,171012.92
383,1112720,7769.8306,125117.15
384,1112721,8510.391,151573.38
385,1112722,9402.87,174908.86
386,1112723,13803.385,114117.7
387,1112724,11018.31,79789.375
388,1112725,12865.141,67888.734
389,1112726,10615.589,75008.12
390,1112727,14470.008,81018.35
391,1112728,12105.62,64119.137
392,1113361,6946.3135,643333.5
393,1113362,6938.855,617173.3
394,1113363,9451.735,658359.0
395,1113364,11777.058,749449.2
396,1113365,12920.94,784189.5
397,1113366,15002.931,751619.06
398,1113367,13771.947,684844.2
399,1113368,12158.277,594610.3
400,1113369,14875.564,552776.1
401,1113370,15407.483,347734.38
402,1113371,14236.719,211979.52
403,1113372,11088.894,160735.34
404,1113373,12588.653,95280.52
405,1113374,12309.08,64285.12
406,1115538,6668.873,294674.9
407,1115539,6690.1284,269313.62
408,1115540,6992.8784,275703.4
409,1115541,7800.09,276888.3
410,1115542,9233.442,274901.25
411,1115543,11069.531,259320.92
412,1115544,14553.678,250867.9
413,1115545,16591.68,199808.33
414,1115546,11194.003,165126.6
415,1115547,12160.902,143185.45
416,1115548,11169.693,85559.52
417,1115549,10374.063,62895.97
418,1115550,13521.662,61069.625
419,1116532,12609.533,527178.5
420,1116533,14348.245,444925.9
421,1116534,11467.0625,377566.53
422,1116535,15091.83,270100.06
423,1116536,12805.973,168184.6
424,1116537,10742.599,174869.03
425,1116538,10612.08,103785.68
426,1116539,9801.331,73327.49
427,1116540,10360.535,51333.176
428,1116541,11194.769,55168.168
429,1116542,10551.433,48744.824
430,1122241,9108.003,188132.06
431,1122242,8527.576,112254.7
432,1122243,8514.817,136938.33
433,1122244,8118.458,101551.96
434,1122245,10311.734,104255.734
435,1122246,12723.5,90514.195
436,1122247,13210.322,97850.086
437,1122248,11198.3125,81335.53
438,1122249,9969.882,53509.305
439,1122250,11038.292,40412.83
440,1122947,8286.8,48521.836
441,1122950,12645.599,114943.3
442,1122951,10668.007,100790.336
443,1122952,12114.526,106674.67
444,1122953,10151.043,114840.97
445,1122954,10889.76,122706.19
446,1122955,12262.145,83902.65
447,1123705,11316.761,247304.48
448,1123706,12597.696,238910.69
449,1123707,17199.504,214383.88
450,1123708,20687.646,166456.27
451,1123709,12072.419,95045.44
452,1123710,9225.456,87018.81
453,1123711,12670.8545,92029.164
454,1125976,8602.589,1602522.6
455,1125977,8497.743,1617004.2
456,1125981,9142.922,343402.16
457,1125982,10936.505,293740.3
458,1125983,13242.536,270391.16
459,1125984,13309.051,226085.97
460,1125985,12509.346,134958.2
461,1125986,14449.562,117754.94
462,1129472,8710.042,778507.4
463,1129473,7419.895,752194.1
464,1129474,7325.4976,761283.94
465,1129475,7147.018,666160.7
466,1129476,6914.3926,511732.7
467,1129477,6841.187,402763.9
468,1129478,7280.2944,398080.72
469,1129479,8249.495,360096.12
470,1129480,8728.775,313660.9
471,1129481,12259.228,271553.28
472,1129482,11215.519,257239.8
473,1129483,14313.249,216151.55
474,1129484,11333.928,173860.48
475,1129485,11415.825,98442.67
476,1129486,12516.191,71647.445
477,1131237,5757.5293,366428.97
478,1131238,5438.4287,385361.72
479,1131239,5900.145,441640.88
480,1131240,7245.1255,409937.06
481,1131241,7705.608,389779.5
482,1131242,7122.4556,349585.6
483,1131243,8131.081,321227.03
484,1131244,8029.6343,275394.7
485,1131245,11046.826,226085.89
486,1131246,13296.012,215905.28
487,1131247,10685.352,197074.83
488,1131248,12270.3545,116882.72
489,1131249,10956.96,82052.64
490,1131250,13411.738,59256.242
491,1132750,7208.838,167298.1
492,1132751,8445.674,135444.5
493,1132752,8807.16,114956.74
494,1132753,6573.04,102333.234
495,1132754,6916.1978,217828.9
496,1132755,8035.8594,185205.25
497,1132756,9296.968,155831.33
498,1132757,9736.4,128133.9
499,1132758,9932.933,119955.49
500,1132759,9974.617,112809.21
501,1132760,10715.161,110154.5
502,1132761,10843.418,53405.227
503,1132762,11928.886,42118.5
504,1132763,10582.842,50114.66
505,1132764,10276.898,34292.984
506,1133489,12402.922,378574.38
507,1133490,11988.874,534117.7
508,1133491,10279.41,395346.47
509,1133492,8420.009,262297.25
510,1133493,9019.457,207234.94
511,1133494,11763.484,199038.86
512,1133495,14671.435,176224.58
513,1133496,12265.629,141154.16
514,1133497,9948.204,168678.97
515,1133498,10477.12,148250.97
516,1133499,10272.484,104793.016
517,1133500,9306.328,76427.76
518,1133501,12199.1875,54204.457
519,1135070,7929.466,146560.39
520,1135071,8463.033,124409.37
521,1135072,10901.158,106589.21
522,1135073,8267.843,106739.336
523,1135074,9804.718,105505.84
524,1135075,11220.173,96878.67
525,1135077,12042.312,64348.684
526,1135078,10275.902,59655.863
527,1135079,12128.236,40858.996
528,1135956,12878.204,640101.9
529,1135957,17412.637,561496.0
530,1135958,18049.63,462316.3
531,1135959,11502.2705,288841.7
532,1135960,10780.303,239792.86
533,1135961,14384.273,166623.0
534,1135962,17094.846,108477.875
535,1135963,13058.946,85513.336
536,1135964,13051.55,90353.125
537,1138557,6960.6,223223.8
538,1138558,8192.985,157737.9
539,1138559,8363.834,124088.15
540,1138560,8911.26,118881.266
541,1138561,8260.427,100830.83
542,1138562,9165.341,98874.414
543,1138563,12223.685,79888.78
544,1138564,10462.236,70485.03
545,1138565,11420.445,66636.1
546,1138566,12245.353,77714.45
547,1138567,10063.315,54943.58
548,1139744,7048.384,242302.25
549,1139745,7820.896,238943.83
550,1139746,8474.533,257706.86
551,1139747,9242.538,215455.23
552,1139748,18846.865,180700.36
553,1139749,13718.98,153714.2
554,1139750,14320.534,147803.5
555,1139751,9763.076,130648.88
556,1139752,10170.051,91923.44
557,1139753,8482.487,60925.74
558,1139754,10599.18,48971.508
559,1139755,10057.305,47444.0
560,1139756,10484.333,46775.53
561,1139757,10893.139,44227.457
562,1142042,5294.152,894213.1
563,1142043,5239.5894,810102.9
564,1142044,5624.033,744640.6
565,1142045,5782.6104,731857.9
566,1142046,6888.262,733347.94
567,1142047,9888.721,858356.7
568,1142048,8367.172,1060261.1
569,1142049,9528.865,960401.6
570,1142050,10814.59,476789.38
571,1142051,11189.009,296173.5
572,1142052,9938.526,183748.05
573,1142053,10931.669,153514.11
574,1142054,14830.444,149635.11
575,1148621,10446.713,518084.44
576,1148622,15352.374,333499.88
577,1148623,15053.116,250241.6
578,1148624,13793.549,238059.88
579,1148625,23503.879,263190.25
580,1148626,16461.332,231374.1
581,1148627,15041.168,151723.78
582,1151229,7638.5464,367372.4
583,1151230,12341.255,426534.28
584,1151231,14221.238,525856.44
585,1151232,9790.748,309300.97
586,1151235,14881.399,216118.34
587,1151236,29090.99,188048.08
588,1151237,25146.512,190646.81
589,1151238,10440.731,158862.03
590,1155750,9232.372,259517.38
591,1155751,11919.129,236795.17
592,1155752,10032.275,259142.39
593,1155753,10345.758,229788.77
594,1155754,11020.338,123693.805
595,1155755,9672.626,83709.73
596,1155756,10444.416,61137.293
597,1155757,11588.134,68124.58
598,1155758,11149.053,62300.875
599,1156764,7242.938,573422.06
600,1156765,8003.932,475522.28
601,1156766,8418.651,411950.0
602,1156767,8481.087,396108.1
603,1156768,8993.234,377043.44
604,1156769,12967.768,287504.53
605,1156770,17310.049,278855.66
606,1156771,15837.833,120445.04
607,1156772,13220.444,110965.89
608,1156773,12117.516,102165.38
609,1156774,14920.74,110806.86
610,1159168,10829.1875,548997.3
611,1159169,16658.758,236598.67
612,1159170,12638.636,263462.16
613,1159171,9431.225,173005.64
614,1159172,10304.561,115929.17
615,1159173,10361.745,77488.555
616,1159174,10397.049,65654.875
617,1159175,12726.26,84071.57
618,1159176,10795.303,80633.94
619,1159177,11646.229,52531.918
620,1161125,8426.159,197684.42
621,1161126,8565.569,171072.88
622,1161127,10760.001,168981.42
623,1161128,13977.539,156298.14
624,1161129,19385.957,147796.94
625,1161130,13516.716,116080.445
626,1161131,12650.368,106972.37
627,1161132,13941.5625,97362.42
628,1162064,8779.405,173091.05
629,1162065,11343.17,170175.3
630,1162066,10174.979,125094.01
631,1162067,11868.912,101256.05
632,1162068,10557.973,83372.49
633,1162069,13683.509,86346.98
634,1162070,11975.801,68017.82
635,1162073,11139.276,33591.957
636,1165208,9974.768,138740.58
637,1165209,11377.7705,183033.14
638,1165210,11288.529,179672.36
639,1165211,10438.108,171409.28
640,1165212,12239.217,158916.95
641,1165213,9305.835,129032.22
642,1165214,10691.498,95238.43
643,1165215,10007.5,87093.71
644,1165216,10009.01,94758.336
645,1165217,11083.503,91943.2
646,1165218,11100.748,84882.31
647,1165219,12011.753,53554.1
648,1165956,6987.168,74597.3
649,1165957,6911.2534,151073.89
650,1165958,7634.228,137499.06
651,1165959,8332.008,146686.39
652,1165960,9042.361,146288.19
653,1165961,10675.278,133557.1
654,1165962,9358.503,95352.09
655,1165963,10555.33,91909.35
656,1165964,9623.942,103100.86
657,1165965,10770.961,102023.305
658,1165966,10736.363,74258.62
659,1165967,11414.951,60509.746
660,1166624,9453.485,188919.67
661,1166625,11775.245,188902.19
662,1166626,12076.962,169212.98
663,1166627,16886.451,144016.52
664,1166628,11488.283,146268.78
665,1166629,8199.384,184220.4
666,1166630,8388.585,185318.52
667,1166631,10469.082,82240.375
668,1166632,13441.752,62827.414
669,1166633,10794.872,51849.402
670,1166634,10656.46,61357.27
671,1167624,5682.319,905584.06
672,1167625,5666.0415,906800.94
673,1167626,5792.7363,754070.7
674,1167627,6423.29,692005.5
675,1167628,6593.16,662199.2
676,1167629,6889.0186,619476.44
677,1167630,7496.96,596781.0
678,1167631,9069.02,463185.38
679,1167632,9932.094,404926.44
680,1167633,10502.757,371015.0
681,1167634,11607.9795,303530.06
682,1167635,13842.232,267319.47
683,1167636,17418.54,220178.92
684,1169876,5476.101,97185.05
685,1169877,6157.0713,106165.73
686,1169878,6193.963,114581.35
687,1169879,6642.6675,122456.945
688,1169880,8047.204,115672.266
689,1169881,7759.6064,109217.164
690,1169882,7687.3003,101570.03
691,1169883,8390.326,83452.734
692,1169884,12115.756,91314.57
693,1169885,9250.183,100829.82
694,1169886,11348.946,113576.19
695,1169887,12549.391,98973.95
696,1169888,11591.226,63487.94
697,1169889,10242.068,62216.03
698,1172540,5383.5874,360412.28
699,1172541,5830.8213,374399.22
700,1172542,6019.362,358379.94
701,1172543,6051.844,349827.62
702,1172544,6469.034,291445.0
703,1172545,6572.518,282446.97
704,1172546,8779.423,281046.2
705,1172547,11189.27,214884.86
706,1172548,11891.593,167247.7
707,1172549,27541.9,178540.56
708,1172550,15500.317,174923.86
709,1172551,13043.571,139312.8
710,1174020,8653.521,3876361.0
711,1174023,9429.273,1297837.9
712,1174024,10394.979,1392076.8
713,1174025,11260.18,1398414.6
714,1174026,18548.643,1153936.5
715,1174027,24670.426,981558.5
716,1174028,13378.676,528273.8
717,1174029,11953.443,218635.34
718,1174030,17002.02,154803.03
719,1174032,12234.995,55772.32
720,1174033,11288.701,62722.82
721,1178835,12047.436,1748718.4
722,1178836,14168.015,1825275.8
723,1178837,13924.945,975462.5
724,1178838,13381.085,976013.44
725,1178839,11861.75,725344.9
726,1178840,10052.393,473038.7
727,1178841,9571.055,401122.4
728,1178845,11600.039,91770.67
729,1178846,12188.103,75736.14
730,1178847,11807.302,68890.36
731,1184601,7312.156,925967.3
732,1184602,7210.0684,783357.0
733,1184603,7498.503,651132.6
734,1184604,7195.994,536415.2
735,1184605,8241.918,510529.34
736,1184606,9284.771,390151.6
737,1184607,12214.366,274656.4
738,1184608,12736.057,236373.98
739,1184609,11655.755,223814.17
740,1184610,12318.259,132776.1
741,1184611,12153.62,87392.516
742,1184612,11682.987,64308.15
743,1186137,9579.023,601997.9
744,1186138,8886.568,579175.4
745,1186139,12151.698,531080.2
746,1186140,12190.372,493607.72
747,1186141,6926.025,463662.5
748,1186142,14579.184,439519.12
749,1186143,10251.417,391190.6
750,1186144,11464.904,276033.06
751,1186145,10587.027,175648.42
752,1186146,10628.977,96721.62
753,1186147,10543.105,81482.92
754,1186148,12494.119,77411.38
755,1186149,10980.978,64319.957
