,filename,btdradius,btdintensity,n_total,n2d,n2d_error,n_disc,n_bulge,n_bulge_exp,n_total_error,n_disc_error,n_bulge_error,n_bulge_exp_error,star_count,discradius,bulgeradius,disc_intensity,bulge_intensity,btotalintensity,btotalradius,con,r80,r20,asymm,asymmerror
897,RefL0050N0752galface_1419242.png,0.27563660832116127,0.5106595031168646,1.1412700488762613,0.9887829836818718,,0.8250359390319308,1.1352146123977451,1.1352146123977451,6.872968554211927e-05,0.0019063480518746868,0.0007047942594929481,0.0015214303978003136,219,79.02839660644531,21.783119201660156,6530.903011369288,3335.0676866902754,0.3905775369892039,0.08509030938148499,1.5800357581681699,117.3551912568306,56.68852459016394,0.38546972375289307,
898,RefL0050N0752galface_2035407.png,0.2605411896212579,0.5561700028511727,1.1470709802599557,0.9216967592433819,,0.9326843463960832,1.9441952086814447,1.9441952086814447,0.00021437539588816567,0.0015040931248813149,0.006674916541778097,0.007803253615461584,144,80.98929595947266,21.10104751586914,4654.9599052568265,2588.9490637787835,0.44426813568648665,0.08242596685886383,1.6922824680230242,108.40437158469945,49.72677595628415,0.3042654292001146,
899,RefL0050N0752galface_1869040.png,0.3447546985832763,0.5377138153251828,1.2155829449538211,1.0920397596067746,,1.2297517309171975,0.2684697608500232,0.2684697608500232,0.00023170699678805946,0.002855166569915808,1.0835179606026442,0.0,102,69.3704833984375,23.915800094604492,6021.945236174267,3238.083148622574,0.4156001464251412,0.0934210941195488,1.6759213594914346,118.34972677595628,54.69945355191257,0.36493323949518525,
900,RefL0050N0752galface_2148406.png,0.3659238574432049,0.5909329533275894,0.9171643493723822,1.3863894220217678,,0.6423906898265425,0.9339738858754358,0.9339738858754358,0.00014155845155028188,0.0005741687663116852,0.002380189891102586,1.9928308162887192,213,53.01189041137695,19.3983154296875,5025.521015047827,2969.7459754320776,0.33637248650896856,0.0757746696472168,1.3541760515361503,124.31693989071039,66.63387978142076,0.3007311557965886,
901,RefL0050N0752galface_130078.png,0.5585740502532047,0.8234510596871819,2.0011403961660714,1.1971120247384264,,4.5448228406840805,4.895981405404759e-05,4.895981405404759e-05,0.0006020375980345012,0.792430902539881,0.0,0.010379102732236405,45,52.41947937011719,29.280160903930664,4070.3734462153325,3351.753327608582,0.6412490932568845,0.11437562853097916,2.0821170718302535,119.34065934065934,45.747252747252745,0.3291377954959179,
902,RefL0050N0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
903,RefL0050N0752galface_421811.png,0.606129244320591,0.8059053651240397,1.9080168201533485,1.0576360631525255,,9.999999999681298,0.0009967863067035301,0.0009967863067035301,0.0004753408372123455,18.209483495154828,0.0,0.006436435895207262,15,49.52653884887695,30.01948356628418,5130.998031956852,4135.098842394916,0.6429583419243227,0.11726360768079758,2.1786428478071866,119.34426229508196,43.759562841530055,0.20023046407649725,
904,RefL0050N0752galface_411451.png,0.5921011217547909,0.7861419293796366,1.6648122938834684,0.9066084573443505,,9.999999990378393,0.0031362229621732917,0.0031362229621732917,0.0002162029724837388,70.71487607866983,0.0,1.8000171535952627,37,55.000099182128906,32.56562042236328,5961.494612942701,4686.580877005084,0.6633104386991964,0.12720945477485657,2.1821708297522306,111.38461538461539,40.77472527472528,0.24805352135057224,
905,RefL0050N0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
906,RefL0050N0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
907,RefL0050N0752galface_1433988.png,0.24398332218809363,0.6012006991713886,2.2544415588236566,1.8735379558575518,,2.2925300722014232,0.0026210485389692104,0.0026210485389692104,0.0006175935833912027,0.005941781403660443,0.0,0.0,56,51.72291946411133,12.619529724121094,2831.0285731586696,1702.016357557171,0.4690467522835479,0.04929503798484802,1.989700043360188,114.36813186813187,45.747252747252745,0.24469674250865162,
908,RefL0050N0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
909,RefL0050N0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910,RefL0050N0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911,RefL0050N0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,RefL0050N0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913,RefL0050N0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914,RefL0050N0752galface_1116533.png,0.45950349038875593,0.8359052816075035,1.7469451616998326,1.7456445777086478,,1.7294174340572614,0.04665652686599693,0.04665652686599693,0.0005524115314731799,0.06049356275882584,0.008649361795488128,0.49003481294562795,93,57.93540954589844,26.621522903442383,4195.260608270464,3506.840500173189,0.6086148132410589,0.10399032384157181,1.8645600148505328,117.36898395721924,49.73262032085562,0.39770278771049145,
915,RefL0050N0752galface_1269169.png,0.657494822899911,0.8304568045969153,1.756498257730662,0.8589806087271138,,9.999999999495575,0.007588152706826515,0.007588152706826515,0.00015390889763666258,117.43867356629748,0.0,0.021371742441055566,31,51.49041748046875,33.85468292236328,5696.080238209397,4730.348593351012,0.688575050349186,0.13224485516548157,2.274224300042551,113.37362637362638,39.78021978021978,0.24056028024342593,
