,Unnamed: 0,z,Z,face,mass,DiscToTotal,name1,filename,image,bthradius,bthintensity,S_index,star_count,haloradius,bulgeradius,halo_intensity,bulge_intensity
12,12,2.220446e-16,0.021662762000000002,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_4938.png,12150559000.0,0.5639575649750871,galface_4938.png,RecalL0025N0752galface_4938.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_4938.png,0.20428545525142616,0.49550873082976055,1.3969910968628882,4,57.139251708984375,11.672718048095703,3467.785291009397,1718.3178883381781
13,13,2.220446e-16,0.019973444,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_892497.png,12255856000.0,0.4722111464689708,galface_892497.png,RecalL0025N0752galface_892497.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_892497.png,0.17419222540159074,0.5025138361872006,1.4216724189146528,18,58.5516357421875,10.199239730834961,2205.0889785981144,1108.0877217694542
14,14,2.220446e-16,0.01792941,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_51604.png,12386778000.0,0.6641374104858352,galface_51604.png,RecalL0025N0752galface_51604.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_51604.png,0.11315345287684593,0.31341690881150225,1.2219052224260432,111,71.25154113769531,8.062357902526855,4640.885362439845,1454.5319444444444
15,15,2.220446e-16,0.014031084,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_809082.png,12575322000.0,0.2773101712413796,galface_809082.png,RecalL0025N0752galface_809082.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_809082.png,0.1615903560118759,0.3960450992283858,1.1862799868035798,175,79.08267974853516,12.778998374938965,4902.596351681704,1941.6492585785027
16,16,2.220446e-16,0.021107732999999997,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_917940.png,12947725000.0,0.7171663920383866,galface_917940.png,RecalL0025N0752galface_917940.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_917940.png,0.15254259628499592,0.4443579296290343,1.3465741567218736,122,66.8543701171875,10.198139190673828,3871.0209372034055,1720.1188492063493
17,17,2.220446e-16,0.019577821999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_886392.png,13111634000.0,0.3551474545038269,galface_886392.png,RecalL0025N0752galface_886392.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_886392.png,0.12439855654568611,0.41168077358765826,1.245246362444763,108,76.47395324707031,9.513249397277832,3815.3521268893264,1570.7071151071152
18,18,2.220446e-16,0.024486308999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_833288.png,13250019000.0,0.6452039586172235,galface_833288.png,RecalL0025N0752galface_833288.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_833288.png,0.12580738675749129,0.5227198622949566,1.550122918581909,65,76.80192565917969,9.662249565124512,2577.673039475688,1347.4008962361538
19,19,2.220446e-16,0.018259035,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_709787.png,13551484000.0,0.6192868233847348,galface_709787.png,RecalL0025N0752galface_709787.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_709787.png,0.08353856640377162,0.25040726217468945,1.2213098611751514,129,94.63645935058594,7.905794143676758,5039.372651172087,1261.8955086580086
20,20,2.220446e-16,0.019084621,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_642129.png,13584497000.0,0.6947810531658751,galface_642129.png,RecalL0025N0752galface_642129.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_642129.png,0.11077508904936335,0.25119461928750014,1.063156761087545,79,70.65272521972656,7.82656192779541,4920.149856262889,1235.9151699814051
21,21,2.220446e-16,0.017430674,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_754151.png,13952908000.0,0.6946117094564586,galface_754151.png,RecalL0025N0752galface_754151.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_754151.png,0.1451778048904945,0.3514375361992069,1.2924817546823764,140,66.53438568115234,9.659316062927246,4611.052641419054,1620.4969795851578
22,22,2.220446e-16,0.016142643999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_878368.png,14598747000.0,0.6183169055805271,galface_878368.png,RecalL0025N0752galface_878368.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_878368.png,0.09677842770685778,0.18460505264168847,1.0051309265331747,93,69.46636962890625,6.722846031188965,6337.661432434494,1169.9643223597684
23,23,2.220446e-16,0.019744815,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_646493.png,14780843000.0,0.777138899178698,galface_646493.png,RecalL0025N0752galface_646493.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_646493.png,0.18137431668833548,0.40268233808131015,1.3417791557767709,8,65.6297607421875,11.903553009033203,4427.054806707664,1782.696780379145
24,24,2.220446e-16,0.023209319,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_912390.png,14965153000.0,0.5670928687472263,galface_912390.png,RecalL0025N0752galface_912390.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_912390.png,0.10389965619637252,0.3369448722746674,1.1510739396816296,51,83.07475280761719,8.631438255310059,3655.2196419754264,1231.6075154012656
25,25,2.220446e-16,0.016656958,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_746518.png,15302997000.0,0.5012489502131887,galface_746518.png,RecalL0025N0752galface_746518.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_746518.png,0.2213050957888085,0.4678479995788757,1.374353803473648,72,64.22821044921875,14.214030265808105,5759.904706624178,2694.7598947590727
26,26,2.220446e-16,0.013023905,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1797050.png,15780059000.0,0.2020269035998763,galface_1797050.png,RecalL0025N0752galface_1797050.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_1797050.png,0.24666141726038213,0.5384481287061454,1.515485834271836,6,53.86719512939453,13.286958694458008,4111.739860223193,2213.9586334636465
27,27,2.220446e-16,0.014319981,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1266747.png,15807496000.0,0.12092430779792973,galface_1266747.png,RecalL0025N0752galface_1266747.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_1266747.png,0.16677287193503498,0.3270886403782138,1.1643715954908418,46,70.18407440185547,11.70479965209961,6473.759448542412,2117.4931761593525
28,28,2.220446e-16,0.017662922,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_763033.png,16193163000.0,0.6261017175155097,galface_763033.png,RecalL0025N0752galface_763033.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_763033.png,0.15574655742264115,0.35806440544313445,1.2136599032166646,121,63.97355651855469,9.963661193847656,4883.683879967206,1748.6733648526777
29,29,2.220446e-16,0.021061167000000002,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1557597.png,16374937000.0,0.4716273793116385,galface_1557597.png,RecalL0025N0752galface_1557597.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_1557597.png,0.2554925002391539,0.6855924830855347,2.0381220619918294,9,47.33401870727539,12.093486785888672,2147.136509541214,1472.0606510999687
30,30,2.220446e-16,0.023790357999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_866129.png,16757427000.0,0.6729904219746479,galface_866129.png,RecalL0025N0752galface_866129.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_866129.png,0.216979280181356,0.7505891474288788,1.903606066949456,0,51.24460983276367,11.1190185546875,2073.6266636277214,1556.441669538122
31,31,2.220446e-16,0.017281816999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_817104.png,16822366000.0,0.6562007175741672,galface_817104.png,RecalL0025N0752galface_817104.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_817104.png,0.09528094070244293,0.2612014736436668,1.1263877935432713,190,91.2141342163086,8.69096851348877,5914.479379703615,1544.8707298136646
32,32,2.220446e-16,0.02074496,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_825807.png,17293883000.0,0.4050341747843291,galface_825807.png,RecalL0025N0752galface_825807.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_825807.png,0.09803605651391908,0.3692378290088986,1.2700256160404468,143,95.27995300292969,9.34087085723877,3880.7700161967805,1432.9270956633275
33,33,2.220446e-16,0.01636052,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_701288.png,17896090000.0,0.35232716265398045,galface_701288.png,RecalL0025N0752galface_701288.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_701288.png,0.1509434144743714,0.34094258012031703,1.2161680982330156,136,65.0809555053711,9.823541641235352,4702.317677010459,1603.2203213453215
34,34,2.220446e-16,0.025452628999999997,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_610028.png,18309910000.0,0.5395110917481846,galface_610028.png,RecalL0025N0752galface_610028.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_610028.png,0.23708716059731985,0.5933433995515213,2.021596992041857,1,48.636444091796875,11.531076431274414,2008.1045327228646,1191.4955701006036
35,35,2.220446e-16,0.021772452,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_616717.png,18388167000.0,0.7353631084481508,galface_616717.png,RecalL0025N0752galface_616717.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_616717.png,0.2396555415885461,0.47278079353011293,1.2627623105652794,8,53.7139892578125,12.872855186462402,4025.5267881855834,1903.191749295107
36,36,2.220446e-16,0.014225453999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1785362.png,18594980000.0,0.503355833543987,galface_1785362.png,RecalL0025N0752galface_1785362.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_1785362.png,0.2017036154912296,0.600865099023781,1.5961776125274696,14,57.870643615722656,11.672718048095703,2884.0699735002763,1732.936990218757
37,37,2.220446e-16,0.02275076,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_853401.png,19010083000.0,0.7718262651255898,galface_853401.png,RecalL0025N0752galface_853401.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_853401.png,0.178997648580739,0.45734152348771173,1.4217905898640166,93,61.465538024902344,11.00218677520752,3886.6464461465475,1777.5248069387626
38,38,2.220446e-16,0.018890733,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_793490.png,19232920000.0,0.7068434194133755,galface_793490.png,RecalL0025N0752galface_793490.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_793490.png,0.10847703276624494,0.26876752172057333,1.1394618129190506,145,81.67740631103516,8.860122680664062,5181.659173846676,1392.6616945554445
39,39,2.220446e-16,0.020319566,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_770934.png,19364436000.0,0.4351291452136629,galface_770934.png,RecalL0025N0752galface_770934.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_770934.png,0.14774582971838526,0.4235546830636872,1.4694693453355798,95,64.30029296875,9.500100135803223,3130.686725832121,1326.0170239315166
40,40,2.220446e-16,0.015318896,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1681524.png,21308115000.0,0.6093402128146163,galface_1681524.png,RecalL0025N0752galface_1681524.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_1681524.png,0.16400097695574406,0.463183552820435,1.3516884665732856,44,78.47621154785156,12.8701753616333,4580.944749572418,2121.8182643810705
41,41,2.220446e-16,0.016020635,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1696892.png,21490014000.0,0.24812939438526796,galface_1696892.png,RecalL0025N0752galface_1696892.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_1696892.png,0.15959029214526346,0.4359999507432346,1.4772580773296768,53,66.46207427978516,10.606701850891113,3887.5670869966484,1694.9790584415587
42,42,2.220446e-16,0.02041699,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_726306.png,22260697000.0,0.00669053095289629,galface_726306.png,RecalL0025N0752galface_726306.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_726306.png,0.2522327365792806,0.500628095415461,1.2664245097705649,22,61.06670379638672,15.403021812438965,4711.148811824423,2358.5334568824733
43,43,2.220446e-16,0.02537573,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_671241.png,22513230000.0,0.5830581869497806,galface_671241.png,RecalL0025N0752galface_671241.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_671241.png,0.25594225858072045,0.5920482219254068,2.107239169194938,8,47.605247497558594,12.184194564819336,2449.5683162786145,1450.2625661375664
44,44,2.220446e-16,0.020668296000000003,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_846421.png,22567797000.0,0.8045442681059936,galface_846421.png,RecalL0025N0752galface_846421.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_846421.png,0.08329646642059665,0.28231309762136836,0.9693215308152942,123,79.34586334228516,6.609230041503906,3521.7957879371033,994.2490780824113
45,45,2.220446e-16,0.027148138999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_688091.png,22973825000.0,0.41103440909748346,galface_688091.png,RecalL0025N0752galface_688091.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_688091.png,0.2084813342691612,0.6097567050618669,2.3837793329341124,12,46.13262939453125,9.617792129516602,1175.3440290807262,716.6739024864027
46,46,2.220446e-16,0.018606555,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1437151.png,24514628000.0,0.6623790311034895,galface_1437151.png,RecalL0025N0752galface_1437151.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_1437151.png,0.10724402482724746,0.4096144158204072,1.2221405407392865,148,75.17768859863281,8.062357902526855,2986.896648828764,1223.475925925926
47,47,2.220446e-16,0.01941169,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_737885.png,25758130000.0,0.6769265434174371,galface_737885.png,RecalL0025N0752galface_737885.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_737885.png,0.07139108848313257,0.19023026371810625,0.689214907076295,257,91.31815338134766,6.5193023681640625,6096.9875399939,1159.8315476190476
48,48,2.220446e-16,0.022226697000000004,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1593757.png,28592847000.0,0.6062936213268477,galface_1593757.png,RecalL0025N0752galface_1593757.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_1593757.png,0.10819956533292062,0.4109265715993982,1.4230004293645286,107,70.69001770019531,7.648629188537598,2459.080819475487,1010.5016504329004
49,49,2.220446e-16,0.02108429,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_650554.png,29770949000.0,0.8146868950774627,galface_650554.png,RecalL0025N0752galface_650554.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_650554.png,0.08832308347785649,0.19858323953143636,1.1199806507127843,114,74.680419921875,6.596004962921143,4669.42916511129,927.2703703703702
50,50,2.220446e-16,0.03249043,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_780704.png,30751242000.0,0.6079901913184503,galface_780704.png,RecalL0025N0752galface_780704.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_780704.png,0.23095645974992607,0.5974817646829406,1.4098107261788337,42,43.836524963378906,10.12432861328125,1719.0667582860654,1027.1110403485404
51,51,2.220446e-16,0.020029511,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1720071.png,32110428000.0,0.5452840148656595,galface_1720071.png,RecalL0025N0752galface_1720071.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_1720071.png,0.10300269760537725,0.3192257990905122,0.9103182526463975,114,75.35906982421875,7.762187480926514,3174.541986432409,1013.3957023652677
52,52,2.220446e-16,0.016542446000000002,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1378064.png,32135940000.0,0.17619359449599592,galface_1378064.png,RecalL0025N0752galface_1378064.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecal/RecalL0025N0752galface_1378064.png,0.09533518200887149,0.3869493677020512,1.3363590749506449,80,122.34898376464844,11.664162635803223,5010.575741596638,1938.8391150340553
