,ProjGalaxyID,DescGalaxyID,DescID,z,Z,face,HalfMassRadius,VelDisp,Starmass,BHmass,DMmass,Gasmass,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,DispAnisotropy,DMEllipticity,StellarEllipticity,StellarCoRotKE,MedOrbitCircu,RotToDispRatio,Triaxiality,name1,filename,image
0,116736,116736,116736,2.220446e-16,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_116736.png,5.2489386,,12181917000.0,9062038.0,65499730000.0,,0.18612614,21723670000.0,9.216688e-08,126.44751,7.3626556,0.5725160022618232,,,0.5127389348905437,,,,,galface_116736.png,RefL0050N0752galface_116736.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_116736.png
1,116736,116737,116736,0.10063854,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_116737.png,4.9656487,,12112953000.0,9062038.0,66372284000.0,,0.57349455,21301387000.0,2.9805474e-07,128.8444,7.0677705,0.5910212759984617,,,0.5410588431560293,,,,,galface_116737.png,RefL0050N0752galface_116737.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_116737.png
2,116736,116738,116737,0.18270987,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_116738.png,5.0920787,,12015782000.0,9062038.0,65858450000.0,,0.8345666,20436935000.0,6.957508e-06,128.71858,8.037605,0.6011438289853985,,,0.5531145577546754,,,,,galface_116738.png,RefL0050N0752galface_116738.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_116738.png
3,116736,116739,116738,0.27090108,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_116739.png,4.6969085,,11557599000.0,9062038.0,74496730000.0,,2.5137556,18980356000.0,5.5101964e-08,147.49547,9.366531,0.6300459585259055,,,0.5903294528771188,,,,,galface_116739.png,RefL0050N0752galface_116739.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_116739.png
4,116736,116740,116739,0.36566857,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_116740.png,5.4194126,,10263066000.0,9062038.0,104706500000.0,,3.2777166,16956132000.0,5.1784443e-09,144.6348,10.36468,0.6439329865643444,,,0.49536252052993823,,,,,galface_116740.png,RefL0050N0752galface_116740.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_116740.png
5,116736,116741,116740,0.5031073,,,6.4150085,,7446411000.0,7254085.0,109806090000.0,,3.087789,12186293000.0,1.0469843e-09,146.13455,18.980595,0.5821802674678975,,,0.46958484437053594,,,,,,RefL0050N0752,
6,116736,117225,116740,0.5031073,,,2.2275136,,659557500.0,1807953.0,1134320400.0,,0.27485162,1047508200.0,5.0296805e-08,52.75373,3.0570884,0.08888155274476628,,,0.4791708372297969,,,,,,RefL0050N0752,
7,116736,117226,117225,0.6151898,,,3.7654855,,2122869200.0,1807953.0,14823725000.0,,1.1113076,3355516200.0,2.9497838e-10,88.27731,6.757049,0.4290256405073243,,,0.42567032237425384,,,,,,RefL0050N0752,
8,116736,116742,116741,0.6151898,,,4.733258,,4361625000.0,7254085.0,106703680000.0,,2.7928827,7219059700.0,6.579443e-09,134.04295,20.510952,0.6856354210279367,,,0.6107880088167114,,,,,,RefL0050N0752,
9,116736,116743,116742,0.7356296,,,3.7558331,,2354374700.0,5446131.5,82999300000.0,,1.3401921,3783713300.0,7.224942e-08,115.31916,29.653418,0.46274583468229313,,,0.6285848346735478,,,,,,RefL0050N0752,
10,116736,117019,116742,0.7356296,,,2.0521977,,1084670500.0,1807953.0,4488806000.0,,0.27094495,1738333700.0,3.3940156e-11,69.32618,4.409769,0.2126031184122551,,,0.4568431859775359,,,,,,RefL0050N0752,
11,116736,117227,117226,0.7356296,,,3.5684311,,1851494700.0,1807953.0,44781416000.0,,0.5734007,2931965000.0,1.0336965e-09,93.23229,17.39055,0.47572994649460143,,,0.43153159666684904,,,,,,RefL0050N0752,
12,116736,117228,117227,0.86505055,,,3.2028997,,1634570500.0,1807953.0,44393615000.0,,0.8181042,2526134000.0,1.2299659e-09,91.73408,15.112483,0.3552414606107487,,,0.4308162014585034,,,,,,RefL0050N0752,
13,116736,117020,117019,0.86505055,,,2.8268783,,1330824300.0,1807953.0,17741935000.0,,0.29417318,2089576100.0,6.5630723e-10,82.66687,9.783612,0.2508072427231637,,,0.45576421554661006,,,,,,RefL0050N0752,
14,116736,116744,116743,0.86505055,,,3.3064055,,1494660400.0,5446131.5,62591218000.0,,0.98218995,2397645000.0,8.3072365e-08,103.098175,10.202202,0.35542351899098645,,,0.5396437403060514,,,,,,RefL0050N0752,
15,116736,116745,116744,1.0041217,,,2.9840312,,1104006700.0,5446131.5,64937415000.0,,0.83610874,1716443100.0,2.1359472e-07,103.74789,22.259052,0.3549149512587155,,,0.5077814966315053,,,,,,RefL0050N0752,
