,Unnamed: 0,z,Z,face,mass,DiscToTotal,HalfMassRadius,VelDisp,BHmass,SFR,name1,filename,image,bthradius,bthintensity,n_total,n_haloa,n_bulgea,n_halo,n_bulge,n_bulge_exp,n_total_error,n_haloa_error,n_bulgea_error,n_halo_error,n_bulge_error,n_bulge_exp_error,star_count,haloradius,bulgeradius,halo_intensity,bulge_intensity,btotalintensity,btotalradius
0,0,2.220446e-16,0.016751316999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1262322.png,10031502000.0,0.7134337553310931,9.257972,71.433495,14622960.0,0.6755194,galface_1262322.png,RefL0050N0752galface_1262322.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1262322.png,0.10951227960739365,0.2755786816756377,0.9121635473544876,0.5939938932320127,9.999999999995373,0.7216463569215393,0.4236918178443195,0.4236918178443195,0.0006986889665468003,0.1850434360251214,1518999.9146147668,0.0006263161083320416,0.0038918532098854547,0.0,78,86.25157165527344,9.445606231689453,5177.500881733396,1426.8088673625412,0.2162183792420531,0.036896899342536926
1,1,2.220446e-16,0.01703286,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1342257.png,10114554000.0,0.505114225751903,5.995696,72.68951,9044271.0,0.8066555999999999,galface_1342257.png,RefL0050N0752galface_1342257.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1342257.png,0.16084610740002558,0.41691987112866064,1.1945713437180967,0.800189175566833,0.34553713639295486,0.9373186980383257,0.6601885400056282,0.6601885400056282,0.0013562497339144745,1.1937074225628446,0.10068551785790127,0.0007359067546382107,0.015399540139900563,0.02221713671290366,95,77.17848205566406,12.413858413696289,3754.645688369808,1565.3863965289215,0.31048549169462153,0.04849163442850113
2,2,2.220446e-16,0.019406741,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1573529.png,10134920000.0,0.7913137158557491,6.5445485,70.63662,5515284.0,0.487871,galface_1573529.png,RefL0050N0752galface_1573529.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1573529.png,0.11872989691642433,0.30524173294161905,1.1272645211359922,0.7711640304779809,0.4474839848570062,0.9616938541288024,0.45889944919945846,0.45889944919945846,0.00022815225076139778,0.30248752111988453,0.09481953700979316,0.0010287272175421697,0.002276906899663102,0.059832154570075125,62,88.83702850341797,10.547611236572266,5742.607625725114,1752.8835032800905,0.251207677361359,0.04120160639286041
3,3,2.220446e-16,0.02059844,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_436444.png,10155730000.0,0.499326996390794,3.7196171000000002,62.566475,7259802.5,0.46726096,galface_436444.png,RefL0050N0752galface_436444.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_436444.png,0.2812445851306109,0.6257559649646158,1.2919406568713023,1.999999999999997,0.1727753321018202,9.999999999999998,0.21664287051857245,0.21664287051857245,0.0005056776462734177,25.781666243277048,272.5167231316941,60.74420327598006,0.7776759411145147,0.045544248323719665,1,57.12937545776367,16.06732749938965,4314.087840214642,2699.5661993956287,0.5602792941050904,0.06276299804449081
4,4,2.220446e-16,0.02033393,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1284990.png,10184499000.0,0.222492809188775,2.926891,73.19454,1808640.1,0.5111551,galface_1284990.png,RefL0050N0752galface_1284990.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1284990.png,0.2916316185423425,0.5631224334727911,1.1856982355479613,1.4123887291137505,0.33992064188546245,9.999999999999998,4.0,4.0,0.0011899754461918257,48.58123339689366,1113.989011798893,443.97121681986175,0.0,5.087590784960482e+16,15,54.783653259277344,15.976645469665527,4530.3888759042475,2551.1636083772623,0.5074364192059792,0.062408771365880966
5,5,2.220446e-16,0.023005867000000003,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_547615.png,10237993000.0,0.5426792359391923,3.4397924,69.992645,3617358.2,0.5458821,galface_547615.png,RefL0050N0752galface_547615.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_547615.png,0.23516173144763333,0.5362133457398591,1.2182470288867706,1.0613196962527762,0.24744780558464524,9.999999999999998,4.0,4.0,0.0018825046400599119,3.3915160656039496,3.495049884473443,256.2794735877464,0.0,6117228367.7456,23,66.09040069580078,15.541933059692383,4342.360723082596,2328.431771733473,0.49517205013490606,0.06071067601442337
6,6,2.220446e-16,0.020985369,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1545157.png,10250369000.0,0.4901454444769415,4.9432364,73.35641,16298289.0,0.3721642,galface_1545157.png,RefL0050N0752galface_1545157.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1545157.png,0.22097290927285004,0.431990538487916,0.9858277264556088,1.271474005046352,4.0,3.1111198250942365,4.0,4.0,0.00031536892665206824,9.421773846496134,0.0,0.5860831795730433,0.0,0.012224912089195798,21,63.8797492980957,14.115694046020508,5838.962221707223,2522.376434365902,0.3761967949074654,0.05513942986726761
7,7,2.220446e-16,0.022694877999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1087959.png,10263982000.0,0.2811116990425774,3.0158882,67.301575,16449031.0,0.36497217,galface_1087959.png,RefL0050N0752galface_1087959.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1087959.png,0.3130672197323982,0.6357003496305627,1.7642456860502371,1.9999999999999993,0.16671789470077802,9.999999999948171,4.0,4.0,0.002290937228114564,149.6376404206265,47.52089136206466,40.14143448609032,0.0,0.04207169830891062,0,49.797149658203125,15.589855194091797,3771.384449981163,2397.4704134442927,0.5429424022324074,0.06089787185192108
8,8,2.220446e-16,0.018189253,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1554434.png,10265245000.0,0.5167750444120991,5.659142500000001,67.39936,10876969.0,0.8610161,galface_1554434.png,RefL0050N0752galface_1554434.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1554434.png,0.1200920435138816,0.2986761791586365,0.972950925524294,0.7905667429005646,9.999999999999998,0.991491871860041,4.0,4.0,0.00026219004747825574,0.22859151850501597,4280890.135141904,0.0013414737492588864,0.0,0.0,85,84.30474090576172,10.12432861328125,6118.809575380461,1827.542664973915,0.2533943971099464,0.03954815864562988
9,9,2.220446e-16,0.020915492,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1508221.png,10269966000.0,0.3028521647448835,3.7233021,72.34991,10866442.0,0.48277159999999997,galface_1508221.png,RefL0050N0752galface_1508221.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1508221.png,0.2091449922997861,0.508280958481703,1.3012713487879226,1.271188696791623,0.16668483360840064,2.390196668710382,4.0,4.0,0.0006712420116181958,7.955795842866365,5.269843336720844,0.15456146436741505,0.0,0.018344768928131975,32,68.51402282714844,14.329364776611328,4835.283605430329,2457.682585498992,0.43998646448847023,0.055974081158638
