,z,Z,face,HalfMassRadius,VelDisp,Starmass,BHmass,Gasmass,DMmass,M200,R200,SF_MassFromSNII,NSF_MassFromSNII,Stars_MassFromSNII,SF_MassFromSNIa,NSF_MassFromSNIa,Stars_MassFromSNIa,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,KappaCoRot,DMEllipticity,StellarEllipticity,name1,filename,image
10,2.220446e-16,0.019294979,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1524095.png,5.6490836,74.614334,10297497000.0,1807953.0,5049633000.0,576341400000.0,527441130000.0,170.29756,226446600.0,315218080.0,1853401100.0,3606448.0,4867342.5,22315764.0,0.42087054,18643694000.0,3.3778003e-09,149.3364,13.441115,0.577980190129956,0.5890635360867705,0.42947188878618503,0.6883334017619948,galface_1524095.png,RefL0050N0752galface_1524095.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1524095.png
11,2.220446e-16,0.02164936,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1166619.png,3.3693151,65.418175,10427516000.0,3672540.0,456436100.0,165174510000.0,16262709000000.0,534.0196,101672160.0,4786062.5,2148335000.0,3348359.2,114147.52,21942908.0,0.2375929,18648025000.0,4.3247644e-05,130.4581,12.977135,0.31597938475651477,0.3430320863084402,0.20191598565761193,0.43105404278829673,galface_1166619.png,RefL0050N0752galface_1166619.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1166619.png
12,2.220446e-16,0.021974618,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_6520.png,3.8069878,62.672585,10569543000.0,12819760.0,264805780.0,129642160000.0,160973300000000.0,1146.5822,66152456.0,3040747.8,2227222300.0,2253632.5,117808.77,22324996.0,0.12682359,19149902000.0,4.8242345e-07,123.484985,11.942946,0.021048010125654715,0.17579604131958915,0.19095035444619246,0.22782178046358548,galface_6520.png,RefL0050N0752galface_6520.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_6520.png
13,2.220446e-16,0.017045656,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1524816.png,6.721693,77.39835,10605858000.0,16488027.0,2909667800.0,584940900000.0,529124000000.0,170.48119,341725600.0,361398180.0,1884427800.0,3626119.5,4903545.5,19308808.0,1.163746,20401547000.0,9.722283e-05,142.93144,22.77368,0.23609267340259088,0.17397062621213527,0.31301128430904546,0.3734781327346427,galface_1524816.png,RefL0050N0752galface_1524816.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1524816.png
14,2.220446e-16,0.021464285,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1492806.png,4.4557943,65.99284,10639548000.0,12945435.0,2785459200.0,671924900000.0,655755200000.0,183.1167,155195570.0,392795620.0,2193705200.0,3107015.0,5266113.5,22803620.0,0.4609571,19444658000.0,7.644627e-06,140.72899,52.22928,0.623793854744322,0.49859280477784723,0.2910984390943877,0.5586599988818131,galface_1492806.png,RefL0050N0752galface_1492806.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1492806.png
15,2.220446e-16,0.01924241,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1500716.png,3.889792,73.659035,10750492000.0,5426273.0,5470521000.0,618262760000.0,634747750000.0,181.1471,305507500.0,323378720.0,1996141600.0,5031018.0,3927366.2,20946550.0,0.6103937,19472157000.0,5.309975e-05,147.10117,25.798014,0.3919622128728013,0.4600971882592812,0.4636307548920585,0.6031262035241903,galface_1500716.png,RefL0050N0752galface_1500716.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1500716.png
16,2.220446e-16,0.019069433,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1572034.png,5.2823367,67.406235,10806876000.0,10848737.0,2126355500.0,515369270000.0,511571400000.0,168.56905,317936580.0,184581330.0,1986884400.0,5151087.5,2670672.2,19951324.0,0.6691437,19337322000.0,1.14415325e-05,134.10098,39.699947,0.5191966712835514,0.5380645894264074,0.28940513768547493,0.5842707400280256,galface_1572034.png,RefL0050N0752galface_1572034.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1572034.png
17,2.220446e-16,0.021543019,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1112713.png,4.368638,70.32432,10840405000.0,10886848.0,368847360.0,215181560000.0,44326650000000.0,745.9659,104659380.0,5354070.5,2177813200.0,2572496.2,152390.8,24547760.0,0.18418358,19629440000.0,3.2560918e-05,140.80338,11.31485,0.4008796823081556,0.4588990228865736,0.3029537087250158,0.6192283807001109,galface_1112713.png,RefL0050N0752galface_1112713.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1112713.png
18,2.220446e-16,0.020662656,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1294098.png,3.196252,75.14151,10846905000.0,11873784.0,779314560.0,276783860000.0,2164492000000.0,272.64478,76110870.0,31438314.0,2115561000.0,1757746.6,648610.3,23035600.0,0.33735442,19460063000.0,3.4657944e-07,147.90224,8.3197975,0.4668551314385171,0.4563586035769961,0.3707536583005665,0.5943850241542528,galface_1294098.png,RefL0050N0752galface_1294098.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1294098.png
19,2.220446e-16,0.021726022,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_126881.png,2.475013,76.36922,10915303000.0,23576200.0,251402320.0,21920500000.0,12407162000000.0,487.9541,28569744.0,4524059.0,2312206300.0,1028418.56,205448.52,22125470.0,0.10394404,19514720000.0,3.65819e-05,145.30061,4.596475,0.08163273156962403,0.180945571535003,0.23764299434643843,0.1994585072120053,galface_126881.png,RefL0050N0752galface_126881.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_126881.png
20,2.220446e-16,0.019362956,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1539474.png,6.7522364,69.450096,10929239000.0,7262316.5,3747540700.0,566219800000.0,545100000000.0,172.17397,323354800.0,265548960.0,2030683300.0,4951645.0,3911134.0,21539304.0,0.5949322,19696919000.0,1.2147709e-07,148.34015,25.940552,0.5430360594434211,0.5107835669006894,0.46521342260232756,0.6609986133471666,galface_1539474.png,RefL0050N0752galface_1539474.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1539474.png
21,2.220446e-16,0.018511923,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1296351.png,4.9367056,74.86997,10935161000.0,18146094.0,3249150000.0,1070129500000.0,985278450000.0,209.73608,216173250.0,352418620.0,2030760100.0,3250775.2,4270356.5,21581150.0,0.74512434,20439124000.0,2.971521e-06,158.085,26.163189,0.30242541180371585,0.28859249991770675,0.4108089763390359,0.590476118217397,galface_1296351.png,RefL0050N0752galface_1296351.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1296351.png
22,2.220446e-16,0.018984403,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1523160.png,6.249502,62.864475,10952012000.0,9066719.0,4514958300.0,544444680000.0,501754820000.0,167.4902,453268450.0,481147360.0,2025075800.0,5459031.5,5950139.0,19110260.0,1.1510594,19561343000.0,3.92128e-09,134.38727,26.737448,0.21988194999335964,0.2832131902482692,0.29748666061864415,0.41713952177018954,galface_1523160.png,RefL0050N0752galface_1523160.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1523160.png
23,2.220446e-16,0.021465039,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_458269.png,4.275509,65.84182,11008017000.0,10875516.0,1057777400.0,109108040000.0,7972095000000.0,421.05655,245079310.0,18094864.0,2205814000.0,4189870.0,282236.66,22877094.0,0.50361013,19438047000.0,6.528746e-08,131.43878,10.057125,0.5298233614875736,0.4995218005049685,0.2275670624909928,0.5518465168090876,galface_458269.png,RefL0050N0752galface_458269.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_458269.png
24,2.220446e-16,0.020108443,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1515902.png,4.3375626,65.81232,11008690000.0,5427894.5,7589044000.0,523028370000.0,534918140000.0,171.10184,353146660.0,473370370.0,2106736300.0,4968923.5,5178625.5,21747392.0,0.84698075,19616662000.0,4.0306897e-08,137.59734,28.644758,0.7025317742026281,0.5555064347312976,0.19510356688486385,0.5467852431394953,galface_1515902.png,RefL0050N0752galface_1515902.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1515902.png
25,2.220446e-16,0.01755482,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1384904.png,6.052212,67.6328,11110909000.0,9117654.0,6385934000.0,712314400000.0,627974900000.0,180.49455,243096540.0,551949060.0,1965182100.0,3577822.0,6880970.5,19732966.0,0.54133224,20770173000.0,7.955574e-06,145.29926,36.553047,0.464970688329453,0.3639185562149081,0.3794689221099886,0.5555460309456152,galface_1384904.png,RefL0050N0752galface_1384904.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1384904.png
26,2.220446e-16,0.018872568,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1285418.png,6.246922,76.213295,11185994000.0,9061896.0,2858305500.0,1185180700000.0,1034022100000.0,213.13864,353007140.0,781809800.0,2127301000.0,4361016.5,8759467.0,22306554.0,0.76359,21187074000.0,4.562214e-07,145.94566,37.147007,0.4380750402043456,0.3978382086405915,0.3395726056639248,0.5905876005152403,galface_1285418.png,RefL0050N0752galface_1285418.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1285418.png
27,2.220446e-16,0.018371765,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1576122.png,8.85411,69.104996,11252375000.0,11023969.0,3753860900.0,500720070000.0,492210900000.0,166.41585,398736600.0,288954460.0,1994532400.0,5923757.0,4358611.5,20558732.0,0.7059485,20223963000.0,1.8194552e-05,137.66788,24.456873,0.7765053933494684,0.6635107616494608,0.43563363105090014,0.7170488660423635,galface_1576122.png,RefL0050N0752galface_1576122.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1576122.png
28,2.220446e-16,0.019020928,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1191646.png,6.14334,72.794,11261188000.0,9062705.0,7934787000.0,456636700000.0,8196964500000.0,424.989,382729660.0,263404540.0,2093152000.0,5149751.5,3421468.5,21181668.0,0.9916659,20441369000.0,6.1886626e-06,145.74632,23.741497,0.4728144226078307,0.4250191096452942,0.2923372448501941,0.5094251394871189,galface_1191646.png,RefL0050N0752galface_1191646.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1191646.png
