,Unnamed: 0,z,Z,face,mass,DiscToTotal,HalfMassRadius,VelDisp,BHmass,SFR,name1,filename,image,btdradius,btdintensity,n_total,n_disca,n_bulgea,n_disc,n_bulge,n_bulge_exp,n_total_error,n_disca_error,n_bulgea_error,n_disc_error,n_bulge_error,n_bulge_exp_error,star_count,discradius,bulgeradius,disc_intensity,bulge_intensity,btotalintensity,btotalradius,con,r80,r20,asymm
0,0,2.220446e-16,0.01593308,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_971267.png,10051157000.0,0.5923171453743077,6.3165154,70.62631,2449352.8,0.77674705,galface_971267.png,RecalL0025N0752galface_971267.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_971267.png,0.16699261988573105,0.3712658907495158,1.172752584843246,0.8563811224961733,3.3593994258281294,0.9066103051114923,2.6124071274152882,2.6124071274152882,0.0001031660470714874,0.7137177282007846,108.89962374844183,0.000704977983211938,0.0051333603340741,0.004184018860937021,67,76.52433013916016,12.778998374938965,5552.631533886774,2061.502692432324,0.3169590871043166,0.04991796240210533,1.6959384882834798,106.41208791208791,48.73076923076923,0.1888804490922904
1,1,2.220446e-16,0.02203542,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_1033394.png,10099614000.0,0.2627137698379327,1.8267650000000002,74.22707,4040950.2,0.5385541,galface_1033394.png,RecalL0025N0752galface_1033394.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_1033394.png,0.216352994725048,0.6917467686894552,1.790578926793116,1.362861878523603,1.7487804575026031,1.4645747461769734,5.412275519882133,5.412275519882133,0.0007687628009122339,5.9817968957370935,3.2561927130225055,0.005782951551070927,0.7084751941016466,0.010839417269090825,65,72.62092590332031,15.71175479888916,2578.8193551969584,1783.8899559913204,0.5168130021388023,0.06137404218316078,1.8679033140629646,103.42857142857143,43.75824175824176,0.2722876253044613
2,2,2.220446e-16,0.016808622,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_950105.png,10503151000.0,0.4940024053314816,3.1080685000000003,73.2605,1855553.0,1.1127219,galface_950105.png,RecalL0025N0752galface_950105.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_950105.png,0.2249188993869574,0.5000656431126103,1.63923501408047,1.288103225345874,2.057917950377198,1.4870952780917401,0.7762151120395009,0.7762151120395009,0.00027091429700926194,6.834232728548355,25.28230755292678,0.004849073591735406,0.006378030395986375,0.0056852565543793025,75,68.7369384765625,15.460236549377441,4426.242799534874,2213.4119521219673,0.4394480357085506,0.06039154902100563,1.9498553950038113,107.4065934065934,43.75824175824176,0.2020759095419111
3,3,2.220446e-16,0.0112411,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_789657.png,10769044000.0,0.4221701745379094,10.126999,74.02821,682009.0,2.4336564999999997,galface_789657.png,RecalL0025N0752galface_789657.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_789657.png,0.22690838142900044,0.6934013264309388,1.4664928435886708,1.1861714907910166,0.8278896985897892,1.123902440467023,0.833564919727752,0.833564919727752,0.00045727565713802215,10.135570899924678,0.538828969654151,0.001787814712894407,0.002557084679576129,0.002350322821425853,71,82.00619506835938,18.607892990112305,3884.5666923388285,2693.563697077188,0.43998497684370713,0.07268708199262619,1.5579008899864466,124.31318681318682,60.66483516483517,0.3586117093414032
4,4,2.220446e-16,0.016895300000000002,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_697075.png,10813851000.0,0.6317563449150654,4.484118,72.945076,2175677.8,1.0821466,galface_697075.png,RecalL0025N0752galface_697075.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_697075.png,0.17917318357381962,0.4011647112150844,1.297232471781735,1.009743189150143,2.7171272706009733,1.1051384203840808,2.2302673316401544,2.2302673316401544,0.0003037868492552108,1.178745456629206,88.03875283848116,0.000938357619453614,0.009961529862323333,0.006890582037317413,104,76.6277084350586,13.729630470275879,4482.916490971512,1798.387899501926,0.3591443028177472,0.05363136902451515,1.7361520895605498,108.4010989010989,48.73076923076923,0.22937922381597528
5,5,2.220446e-16,0.018719481,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_924755.png,10890967000.0,0.6046255121266044,4.088323,72.19497,732329.4,0.7303419,galface_924755.png,RecalL0025N0752galface_924755.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_924755.png,0.20799209938476587,0.4947832007940034,1.2507418507354888,1.0577674407257907,1.0435945120105163,1.0050515295952989,1.0451478516162993,1.0451478516162993,0.00017530942002148088,3.084697323876829,0.4785332935773505,0.00042003494450543167,0.0025441239555942133,0.0024831663301135565,77,72.67736053466797,15.116316795349121,4517.462851996501,2235.164729378836,0.37465523074399965,0.059048112481832504,1.5228763821431544,122.32417582417582,60.66483516483517,0.23189722743913563
6,6,2.220446e-16,0.01917366,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_955249.png,10925215000.0,0.6177685691555361,4.9083223,69.59666999999999,686290.75,0.45169637,galface_955249.png,RecalL0025N0752galface_955249.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_955249.png,0.25371024016289795,0.5291013309497884,1.2574398490748642,1.013179341598318,0.6987368495852709,0.9644118613855113,0.8696551972179699,0.8696551972179699,0.0001409656017606965,4.043011642448735,0.1632781255688987,0.00030165330854868495,0.0012278770531562386,0.0011074359661523425,54,65.64453125,16.65468978881836,4735.95593875497,2505.8005905148093,0.39658927317798426,0.06505738198757172,1.4709528556683789,125.3076923076923,63.64835164835165,0.232472879218468
7,7,2.220446e-16,0.020258628,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_929556.png,11192997000.0,0.2392135981279253,3.025543,79.06789,7246551.0,0.37377185,galface_929556.png,RecalL0025N0752galface_929556.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_929556.png,0.24076875636796366,0.6011822795425884,1.734724152665181,1.7596652752497917,3.8790511387025357,1.5696936161957975,3.9444855084921304,3.9444855084921304,0.00033696388280905266,11.54602437555743,1463.5461932905548,0.004045601773285005,0.38099102935746054,186406063800621.97,33,69.54913330078125,16.745258331298828,3272.8062521348943,1967.553123159691,0.5214268683734428,0.06541116535663605,2.0002668399271837,102.43406593406594,40.77472527472528,0.26498686567975904
8,8,2.220446e-16,0.020322498,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_959840.png,11710979000.0,0.4641904239406261,3.3265915,76.03416,2530905.2,0.8099814999999999,galface_959840.png,RecalL0025N0752galface_959840.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_959840.png,0.38028430732418406,0.7081526590401424,2.5722751614695083,1.9999999999999998,0.7094754616644962,4.1032246646712,0.005100537155877147,0.005100537155877147,0.0012353035983570584,290.17374058533335,3.617608054860183,0.18189353614722312,0.0,0.0,14,49.485130310058594,18.818418502807617,3001.078386007865,2125.2216390393683,0.6199535508772741,0.07350944727659225,2.2070285122656395,104.42307692307692,37.79120879120879,0.21800738934408292
9,9,2.220446e-16,0.019762667,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_907304.png,11939100000.0,0.5951749246570408,3.5904214,73.90108000000001,1527795.9,1.0577374,galface_907304.png,RecalL0025N0752galface_907304.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_907304.png,0.16532969218793,0.6619703301351428,1.8017346724627514,1.661524301866433,2.134267800705527,1.7563352258518328,0.6946688229053811,0.6946688229053811,0.0006213045831806157,3.2861392240733402,904.6662323614394,0.00295246649223862,0.11640612784218854,17759863589521.227,67,101.66252899169922,16.80783462524414,2946.6509599357573,1950.5955087417087,0.4695110191038379,0.06565560400485992,1.8783180698044268,113.37362637362638,47.73626373626374,0.27989247693163843
