,Unnamed: 0_x,Unnamed: 0.1,z_x,Z,face_x,HalfMassRadius,VelDisp,Starmass,BHmass,Gasmass,DMmass,M200,R200,SF_MassFromSNII,NSF_MassFromSNII,Stars_MassFromSNII,SF_MassFromSNIa,NSF_MassFromSNIa,Stars_MassFromSNIa,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,KappaCoRot,DMEllipticity,StellarEllipticity,name1_x,filename,image,btdradius,btdintensity,n_total,n2d,n_disca,n_bulgea,n_disc,n_bulge,n_bulge_exp,n_total_error,n_disca_error,n_bulgea_error,n_disc_error,n_bulge_error,n_bulge_exp_error,star_count,discradius,bulgeradius,disc_intensity,bulge_intensity,btotalintensity,btotalradius,con,r80,r20,asymm,asymmerror,BulgeToTotal,logBHmass,logmass,sSFR,logsSFR,sDMmass,logsDMmass,logDMmass,logSFR,dtototal,dtbradius,dtbintensity,ZBin,categoryn,categorybt,categoryn2d,colourn,colourbt,colourn2d,vHsqrd,Unnamed: 0_y,z_y,face_y,StarmassType,name1_y
0,0,0,2.220446e-16,0.016751316999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1262322.png,9.257972,71.433495,10031502000.0,14622960.0,5541668400.0,584950600000.0,4666846000000.0,352.2351,352874020.0,419895420.0,1684124000.0,5070633.0,6110508.0,16417565.0,0.6755194,18367721000.0,6.3634e-08,144.72633000000005,31.655546,0.7134337553310931,0.5643035736982391,0.2656586275846513,0.6546503441158752,galface_1262322.png,RefL0050N0752galface_1262322.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1262322.png,0.2496129866646805,0.4967124288642951,0.9375294519314341,1.2690237362243906,0.6987195027866191,0.890188948300133,0.6581916156902814,0.8823086894125824,0.8823086894125824,13.18051977097991,4.153343607589042,60.74679920676939,3.8000203492890288,60.381731809410674,75.5121975628537,78,86.25157165527344,21.529512405395508,5177.5008817333955,2571.729038412825,0.3918575144534101,0.0840996578335762,1.4686537846124086,117.35164835164836,59.67032967032968,0.2242697184676098,0.004142673842452482,0.2865662446689069,7.165035292016515,10.001365964074727,67.3398061426893,1.8282718618102893,0.017149314831030178,-1.7657532267026694,11.767119190777397,-0.17036217411498394,0.5032875711357049,4.006201814104158,2.013237321817059,"(0.00879, 0.0184]",disc,disc,disc,b,b,b,8.83724047376312,0,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1262322.png,10539282000.0,galface_1262322.png
1,1,1,2.220446e-16,0.01703286,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1342257.png,5.995696,72.68951,10114554000.0,9044271.0,7475155500.0,765394800000.0,754816060000.0,191.91661,274847780.0,513668860.0,1769696500.0,3279477.5,5939821.5,18446682.0,0.8066555999999999,19107880000.0,3.909043e-06,151.43855,25.121838,0.505114225751903,0.4579702739430231,0.4315502733151222,0.6166706416684536,galface_1342257.png,RefL0050N0752galface_1342257.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1342257.png,0.14609185277727088,0.3939153565096891,1.0161991413696376,1.9331310184559072,0.8904733934468244,0.9240330576483128,0.8438357617649802,0.9360343421441529,0.9360343421441529,13.176555632729098,8.583859465360597,66.4764562175791,8.203001761885826,67.1304981635065,76.59347056393709,95,77.17848205566406,11.275147438049315,3754.645688369808,1479.01259490176,0.29319128346358964,0.044043544679880135,1.4199832818260043,124.31318681318682,64.64285714285714,0.2537698708469984,0.012632371896009952,0.494885774248097,6.956373566946355,10.004946737367886,79.75196929098405,1.9017414157624264,0.01321481933245431,-1.878938769986263,11.88388550735415,-0.09331184686968756,0.6060846434903109,6.845008677688432,2.5386164399899527,"(0.00879, 0.0184]",disc,border,bulge,b,purple,r,2.623338917981096,1,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1342257.png,10863682000.0,galface_1342257.png
2,2,2,2.220446e-16,0.019406741,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1573529.png,6.5445485,70.63662,10134920000.0,5515284.0,4656265700.0,424856300000.0,412018250000.0,156.83807,273684500.0,322034370.0,1890860300.0,3867074.8,4472170.5,20163714.0,0.487871,18307817000.0,4.0516056e-08,138.39571999999998,16.34615,0.7913137158557491,0.6390584667855661,0.39876603068721583,0.6947846509558355,galface_1573529.png,RefL0050N0752galface_1573529.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1573529.png,0.26809890495976185,0.5267643679973005,1.217269469727478,1.339822772100116,0.8923701975013941,1.2512777259061694,0.8396830561465365,1.3503184595101358,1.3503184595101358,9.504432400494043,1.4821618391152191,52.32365984403017,0.8286880179715316,54.34639293195079,58.61469678591215,62,88.83702850341797,23.81711006164551,5742.607625725113,3025.001076621569,0.4338592394517172,0.09303558617830276,1.5422700687159403,117.35164835164836,57.681318681318686,0.22390581874493587,0.013192362840674031,0.20868628414425094,6.741567880594383,10.00582032493868,48.13762713469865,1.682484678633128,0.023854936363189153,-1.6224217376526409,11.62824206259132,-0.3116949964281923,0.47323563200269947,3.72996674548181,1.8983820105408584,"(0.0184, 0.0195]",disc,disc,disc,b,b,b,1.7522287334318765,2,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1573529.png,10440177000.0,galface_1573529.png
3,3,3,2.220446e-16,0.02059844,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_436444.png,3.7196171,62.566475,10155730000.0,7259802.5,834722500.0,39129207000.0,13538888000000.0,502.36273,176591660.0,30812382.0,1937128400.0,2218033.5,418304.25,19231064.0,0.46726096,17633870000.0,4.5314007e-07,119.48111000000002,6.732802,0.499326996390794,0.418686046294948,0.17533238020308328,0.4364920895568177,galface_436444.png,RefL0050N0752galface_436444.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_436444.png,0.4255841448417591,0.7742565085773911,1.8994537095534985,1.24654665813171,2.0,0.3408435853613606,3.4741298146542534,0.001170457736440457,0.001170457736440457,9.812691136532298,8.912899903654399,28.209179337689967,2.483027219749852,20.813147484907088,7.1947586716956256,1,57.12937545776367,24.31335639953613,4314.087840214642,3340.2105888607666,0.6914104990243308,0.09497404843568802,2.050872325445246,89.50819672131149,34.80874316939891,0.2541317215391956,0.00848167496869659,0.500673003609206,6.860924806054518,10.006711146212236,46.00958867555557,1.6628483507015495,0.2595434658310351,-0.5857899002825162,10.592501046494753,-0.33044050308621353,0.22574349142260886,2.3497115955102617,1.2915616322520647,"(0.0195, 0.0207]",bulge,border,disc,r,purple,b,17.97593204416259,3,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_436444.png,10156819000.0,galface_436444.png
4,4,4,2.220446e-16,0.02033393,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1284990.png,2.926891,73.19454,10184499000.0,1808640.1,1714836200.0,181636700000.0,2072893200000.0,268.7541,210637000.0,73696180.0,1943357300.0,3675564.0,1255348.8,21101074.0,0.5111551,18132214000.0,0.00088023546,145.75843999999995,6.5633940000000015,0.222492809188775,0.3599446051826666,0.21691258856491724,0.5429334813916139,galface_1284990.png,RefL0050N0752galface_1284990.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1284990.png,0.4749948924902268,0.7654218582902658,1.8996093544850103,1.1345001380450082,2.0,0.09805716022376716,9.999999986867266,0.00310442201371087,0.00310442201371087,7.379964390174777,7.174371293438401,4.109721036901673,3.397073974851616,3.324525274390118,4.259914923280101,15,54.783653259277344,26.021955490112305,4530.388875904248,3467.658672172177,0.6914995176935805,0.1016482636332512,2.3226606370582097,101.44565217391305,34.80978260869565,0.20821714348533532,0.0009460638371302393,0.777507190811225,6.257352155508639,10.007939669871575,50.18951840439083,1.700613028411305,0.05607071148066443,-1.2512639331084587,11.259203602980035,-0.2914473017171194,0.23457814170973423,2.1052857953005786,1.3064690917420558,"(0.0195, 0.0207]",bulge,bulge,disc,r,r,b,5.1445531971419225,4,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1284990.png,10266412000.0,galface_1284990.png
5,5,5,2.220446e-16,0.023005867000000003,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_547615.png,3.4397924,69.992645,10237993000.0,3617358.2,2354523600.0,59808740000.0,1137226700000.0,220.01352000000003,203372510.0,61647560.0,2178783700.0,3736607.5,878469.06,23559688.0,0.5458821,18135950000.0,7.691591e-09,137.95827,6.6233106,0.5426792359391923,0.4901125879131305,0.2614202980824719,0.5427536353777538,galface_547615.png,RefL0050N0752galface_547615.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_547615.png,0.3941575111216597,0.7299969983351622,1.5263870394266894,1.1800270640604806,1.3273667457008544,0.8465645389335841,1.3601420417835501,0.8803176501330796,0.8803176501330796,1.2596385573335598,0.5676716566593399,31.52524186310141,0.526840603274801,31.917477051721967,28.96622156423101,23,66.09040069580078,26.05002784729004,4342.3607230825955,3169.9102935388,0.677022348582833,0.10175792127847673,1.848729040167205,81.55191256830602,34.80874316939891,0.20276149630449175,0.017796533318209608,0.4573207640608077,6.55839151583405,10.010214828275135,53.31924919268845,1.726884025329816,0.17117887786968927,-0.7665498248841499,10.776764653159285,-0.26290114639504814,0.2700030016648378,2.5370568155717383,1.3698686464199292,"(0.0216, 0.0232]",border,border,disc,purple,purple,b,3.4476527119787903,5,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_547615.png,10237993000.0,galface_547615.png
6,6,6,2.220446e-16,0.020985369,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1545157.png,4.9432364,73.35641,10250369000.0,16298289.0,2037195400.0,579560200000.0,540304870000.0,171.66907,222053280.0,148858460.0,2054893700.0,4235687.5,2422007.0,22495472.0,0.3721642,18636920000.0,2.7566978e-06,151.73648,18.212877,0.4901454444769415,0.4890092155898851,0.2866220969326128,0.6138907778531149,galface_1545157.png,RefL0050N0752galface_1545157.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1545157.png,0.4652692187776284,0.7192856094448168,1.5016331953875268,1.0052009354857043,2.0,0.010000000922221836,5.603653020453288,0.00013900825258779392,0.00013900825258779392,6.881653990874939,5.0904519333355065,6.4971396440649904,2.2448142942511864,7.95582935219079,2.62194387487449,21,63.8797492980957,29.721281051635746,5838.962221707223,4199.881500165941,0.6283535857997298,0.11609875410795213,2.070886037713616,108.40760869565216,41.77173913043478,0.2072567287915317,0.003483989943364085,0.5098545555230585,7.212142014412457,10.010739499711706,36.30739537279097,1.5599950945257384,0.017686461216625985,-1.7523590539096057,11.763098553621312,-0.4292654057625562,0.2807143905551832,2.1492932685880985,1.3902683257793154,"(0.0207, 0.0216]",border,border,disc,purple,purple,b,2.0992910854005324,6,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1545157.png,10483637000.0,galface_1545157.png
7,7,7,2.220446e-16,0.022694878,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1087959.png,3.0158882,67.301575,10263982000.0,16449031.0,450526800.0,385009680000.0,160973300000000.0,1146.5822,131457260.0,1044175.56,2238233600.0,2562733.8,38513.027,22590842.0,0.36497217,18770100000.0,1.5045443e-05,134.81288,7.390500500000001,0.2811116990425774,0.2846971958223787,0.20825228102592688,0.1990912813681418,galface_1087959.png,RefL0050N0752galface_1087959.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1087959.png,0.2932962854978664,0.6117397872711035,2.330156628384102,1.6430527428904182,2.0,0.4461534552963481,3.3856988984347662,0.007558290587737895,0.007558290587737895,7.664633699050236,11.034377559794912,9.24280418698156,0.9710076948388904,7.908135278742614,17.908928384737642,0,49.79714965820313,14.605319023132324,3771.3844499811626,2307.105921149024,0.5224897064011329,0.057052027434110635,2.086225819337121,114.37158469945356,43.759562841530055,0.21479164269245,0.0014758403547440965,0.7188883009574226,7.216140319079418,10.01131588174299,35.558535663838846,1.5509438679840912,0.026659023222481055,-1.5741557670323572,11.585471648775346,-0.43774025027291896,0.38826021272889655,3.4095215297476877,1.6346819690458225,"(0.0216, 0.0232]",bulge,bulge,bulge,r,r,r,93.64282046241429,7,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1087959.png,10696136000.0,galface_1087959.png
8,8,8,2.220446e-16,0.018189253,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1554434.png,5.6591425000000015,67.39936,10265245000.0,10876969.0,4322547700.0,487515360000.0,465473340000.0,163.34448,391785540.0,239210450.0,1804791600.0,5596904.5,2907027.0,18931996.0,0.8610161,18491757000.0,1.9854348e-05,136.29927,19.294708,0.5167750444120991,0.5154088519787623,0.3805710826409042,0.6230887101635694,galface_1554434.png,RefL0050N0752galface_1554434.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1554434.png,0.295325987143338,0.5654581192587239,1.19181399858449,1.042000513482929,1.0168711604545309,0.9204249556001978,1.0041209201553587,0.9476258680223144,0.9476258680223144,3.830380979387652,0.8130247539821994,38.815620686859134,0.7470058014031035,39.42049901478936,39.338092378794535,85,84.30474090576172,24.897380828857425,6118.809575380462,3459.930554596907,0.4800596036629798,0.0972553938627243,1.6887640134436055,110.3901098901099,50.71978021978022,0.22810367965799655,0.010103270329796148,0.4832249555879009,7.036507890769732,10.01136931911122,83.87681930630978,1.9236419532202353,0.02105624938668599,-1.6766189843246777,11.687988303435898,-0.06498872766854528,0.4345418807412761,3.3860887410312617,1.7684775687913548,"(0.00879, 0.0184]",disc,border,disc,b,purple,b,1.9007114154087115,8,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1554434.png,10575772000.0,galface_1554434.png
9,9,9,2.220446e-16,0.020915492,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1508221.png,3.7233021,72.34991,10269966000.0,10866442.0,3530864600.0,641831400000.0,583859960000.0,176.16846,229591980.0,174828020.0,2068909000.0,4171641.8,2145936.2,22161630.0,0.4827716,18712082000.0,3.4663986e-05,150.87152,20.439331,0.3028521647448835,0.38284303375815054,0.3984756348127488,0.4388153648857184,galface_1508221.png,RefL0050N0752galface_1508221.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1508221.png,0.3628905923763985,0.6939051075860975,1.8142363960052363,1.4112645119506109,2.0,0.07873420520192567,2.669218850181999,0.003174494661071153,0.003174494661071153,4.5239109540323215,3.362430203525084,13.518307840459936,1.2012843475480142,12.633391516906919,4.7964985662064334,32,68.51402282714844,24.863094329833984,4835.283605430329,3355.227990435425,0.6015372242234507,0.097121462225914,1.960552325056569,110.3901098901099,44.75274725274726,0.242578532289259,0.007247298701440634,0.6971478352551165,7.0360873662836525,10.011569005813751,47.00810109790042,1.6721727081259272,0.016001033916383647,-1.7958519542395208,11.807420960053271,-0.31625828606032197,0.30609489241390253,2.7556514856212555,1.4411192381602744,"(0.0207, 0.0216]",bulge,bulge,border,r,r,purple,2.2105806755647404,9,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1508221.png,10518351000.0,galface_1508221.png
