,Unnamed: 0,z,Z,face,mass,DiscToTotal,HalfMassRadius,VelDisp,BHmass,SFR,name1,filename,image,bthradius,bthintensity,n_total,n_haloa,n_bulgea,n_halo,n_bulge,n_bulge_exp,n_total_error,n_haloa_error,n_bulgea_error,n_halo_error,n_bulge_error,n_bulge_exp_error,star_count,haloradius,bulgeradius,halo_intensity,bulge_intensity,btotalintensity,btotalradius
0,0,2.220446e-16,0.02045897,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_191315.png,10279411000.0,0.4168422038287283,4.6773453,70.80948000000001,12714404.0,0.24030295,galface_191315.png,RefL0025N0376galface_191315.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_191315.png,0.27924820611210555,0.500247006416999,1.053617484717757,1.9999999999999998,0.10484616243431209,9.999999985651488,4.0,4.0,0.0002650618763043927,99.41905954848235,1619.4920874685195,144.84834276600847,0.0,7.271854834619768e-05,5,53.78655242919922,15.019798278808594,5443.83550434439,2723.262414474855,0.43874157735228553,0.05867108702659607
1,1,2.220446e-16,0.018742138999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_182970.png,10424696000.0,0.6000237211201298,3.5679266000000003,75.53092,8174368.0,0.1322287,galface_182970.png,RefL0025N0376galface_182970.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_182970.png,0.27591418029969234,0.618745901673656,1.5869540667041022,1.9999999999999583,4.0,9.999999999999998,4.0,4.0,0.0009439652852230666,46.708633597956364,0.0,27.86161277605759,0.0,0.0009545724634286514,1,54.36509323120117,15.000100135803223,3660.3238360731307,2264.8103723686445,0.5368097809872533,0.05859414115548134
2,2,2.220446e-16,0.018346585,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_175743.png,10601294000.0,0.5436476112255046,6.0765285,66.278984,14629905.0,1.6616830000000002,galface_175743.png,RefL0025N0376galface_175743.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_175743.png,0.12507038153160685,0.2454684948374032,0.9106544495855234,0.8015293611075008,9.999999995118246,1.0369463034329014,4.0,4.0,0.0005316561644072421,0.40438470173560104,98218635.76173426,0.0023102780820611775,0.0,0.0,35,65.56876373291016,8.20071029663086,5813.275331885492,1426.9759457933374,0.21437318755510432,0.032034024596214294
3,3,2.220446e-16,0.019329375,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_151457.png,10658980000.0,0.08609372557127093,5.695576,75.50703,12767464.0,0.40345934,galface_151457.png,RefL0025N0376galface_151457.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_151457.png,0.25540268801145893,0.60490583841586,1.5741562168284016,1.9999999998775626,0.13492390921066605,9.999999999963556,4.0,4.0,0.0010932286603691254,468.854755475166,199.13714286795366,244.05898833536935,0.0,0.0,1,73.58985137939453,18.795045852661133,5025.665289291069,3040.0542754160992,0.5269649818312072,0.07341814786195755
4,4,2.220446e-16,0.01748308,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_188537.png,10677379000.0,0.5524026736260129,6.278392,71.43064,5458735.0,1.2869948,galface_188537.png,RefL0025N0376galface_188537.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_188537.png,0.09598502329262067,0.20841586677712168,0.9346411538323732,0.7531010710335287,9.999999999999998,0.7468758492516838,0.44084291808387605,0.44084291808387605,0.00019487611288596096,0.30928834857896015,854024.065872862,0.00044016881582676715,0.0019121224176297596,0.0,137,81.3705062866211,7.810349941253662,6514.334833214234,1357.690740740741,0.15759864955893046,0.030509179458022118
5,5,2.220446e-16,0.017276015,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_169054.png,11739729000.0,0.43613863289656907,4.847418299999999,73.94079599999999,22703548.0,0.5848032,galface_169054.png,RefL0025N0376galface_169054.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_169054.png,0.18789778854013486,0.4944260200556741,1.3394214037093182,1.3298272632489594,0.11392421485979759,2.594571851450087,4.0,4.0,0.0005318193003983167,9.112268303626626,589.8085555387141,0.14884897493234256,0.0,0.18053946792504766,52,79.83116912841797,15.000100135803223,5152.515714735923,2547.5378381111996,0.41053419191671625,0.05859414115548134
6,6,2.220446e-16,0.017463038,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_176906.png,11826779000.0,0.1475694241050537,4.979933,71.09101,14613809.0,0.51069534,galface_176906.png,RefL0025N0376galface_176906.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_176906.png,0.21807846649492332,0.6160958920116755,1.5268401444270372,1.273868162662207,0.49947829543588557,1.3739252678739078,0.4741865597294607,0.4741865597294607,0.0009229394250072536,12.727690161724633,0.31216314489593877,0.0035951002542281146,0.011259139508404696,0.0016931015271989692,65,66.8451156616211,14.57748031616211,3479.503597386585,2143.707872589722,0.39635957082167006,0.05694328248500824
7,7,2.220446e-16,0.01837316,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_181230.png,11972363000.0,0.2907572983234548,3.905585,76.09926,20052558.0,0.25052044,galface_181230.png,RefL0025N0376galface_181230.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_181230.png,0.2508189426432423,0.53368321732103,1.259869778731275,1.896143134562508,4.0,9.999999995629322,4.0,4.0,0.000308760635571693,110.10802621615049,0.0,88.55039478351893,0.0,722.7311151486882,19,62.72565460205078,15.732782363891602,5229.420273179302,2790.853836114149,0.47048710467237354,0.06145618110895157
8,8,2.220446e-16,0.019995367,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_9478.png,12261976000.0,0.8297089266009818,5.872282,67.78696,9060933.0,0.75716424,galface_9478.png,RefL0025N0376galface_9478.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_9478.png,0.1892553369798466,0.34436121218948806,1.0351600595688524,1.4333206733204653,4.0,2.421259771730996,4.0,4.0,0.0004558633269428078,5.57172343094505,0.0,0.07831990663069194,0.0,192.08481325072773,14,63.02047348022461,11.926960945129395,5512.917810030198,1898.4350597630169,0.30037075189068063,0.0465896911919117
9,9,2.220446e-16,0.019912533,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_192220.png,12462745000.0,0.5723423335672089,6.1181790000000005,69.36293,7412663.5,0.38035363,galface_192220.png,RefL0025N0376galface_192220.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_192220.png,0.15540183114976214,0.32921869656092134,1.043277035100859,0.9267371759748075,0.16749125759063452,1.2756422244530745,4.0,4.0,0.00019355701565055525,0.589787934810884,4.458920633869631,0.002613987296272366,0.0,0.07191123440324036,35,73.59117889404297,11.436203956604004,6350.563157351077,2090.724125090931,0.27827315225228333,0.04467267170548439
