,z,Z,face,mass,DiscToTotal,HalfMassRadius,VelDisp,BHmass,SFR,name1,filename,image
0,2.220446e-16,0.02045897,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_191315.png,10279411000.0,0.4168422038287283,4.6773453,70.80948,12714404.0,0.24030295,galface_191315.png,RefL0025N0376galface_191315.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_191315.png
1,2.220446e-16,0.018742139,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_182970.png,10424696000.0,0.6000237211201298,3.5679266,75.53092,8174368.0,0.1322287,galface_182970.png,RefL0025N0376galface_182970.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_182970.png
2,2.220446e-16,0.018346585,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_175743.png,10601294000.0,0.5436476112255046,6.0765285,66.278984,14629905.0,1.661683,galface_175743.png,RefL0025N0376galface_175743.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_175743.png
3,2.220446e-16,0.019329375,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_151457.png,10658980000.0,0.08609372557127093,5.695576,75.50703,12767464.0,0.40345934,galface_151457.png,RefL0025N0376galface_151457.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_151457.png
4,2.220446e-16,0.01748308,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_188537.png,10677379000.0,0.5524026736260129,6.278392,71.43064,5458735.0,1.2869948,galface_188537.png,RefL0025N0376galface_188537.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_188537.png
5,2.220446e-16,0.017276015,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_169054.png,11739729000.0,0.43613863289656907,4.8474183,73.940796,22703548.0,0.5848032,galface_169054.png,RefL0025N0376galface_169054.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_169054.png
6,2.220446e-16,0.017463038,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_176906.png,11826779000.0,0.1475694241050537,4.979933,71.09101,14613809.0,0.51069534,galface_176906.png,RefL0025N0376galface_176906.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_176906.png
7,2.220446e-16,0.01837316,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_181230.png,11972363000.0,0.29075729832345476,3.905585,76.09926,20052558.0,0.25052044,galface_181230.png,RefL0025N0376galface_181230.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_181230.png
8,2.220446e-16,0.019995367,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_9478.png,12261976000.0,0.8297089266009818,5.872282,67.78696,9060933.0,0.75716424,galface_9478.png,RefL0025N0376galface_9478.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_9478.png
9,2.220446e-16,0.019912533,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0025N0376_Subhalo/galface_192220.png,12462745000.0,0.5723423335672089,6.118179,69.36293,7412663.5,0.38035363,galface_192220.png,RefL0025N0376galface_192220.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0025N0376/RefL0025N0376galface_192220.png
